Corso Agnelli(TO)    ,Corso Belgio(TO)     ,Corso Einaudi(TO)    ,Corso Francia(TO)    ,Corso Giambone(TO)   ,Corso Galileo Ferraris(TO) ,Corso Giulio Cesare(TO) ,aggregated
0.018                ,0.021599999999999998 ,0.0612               ,0.0576               ,0.036                ,      0.043199999999999995 ,   0.036                ,0.27359999999999995
0.018                ,0.010799999999999999 ,0.0324               ,0.0576               ,0.0324               ,      0.0468               ,   0.0288               ,0.2268
0.0                  ,0.018                ,0.072                ,0.0                  ,0.0396               ,      0.018                ,   0.05039999999999999  ,0.198
0.0                  ,0.0396               ,0.0324               ,0.0                  ,0.036                ,      0.021599999999999998 ,   0.025199999999999997 ,0.1548
0.0288               ,0.0072               ,0.0468               ,0.0288               ,0.043199999999999995 ,      0.010799999999999999 ,   0.0396               ,0.2052
0.0                  ,0.021599999999999998 ,0.018                ,0.0                  ,0.0396               ,      0.025199999999999997 ,   0.0324               ,0.13679999999999998
0.0288               ,0.010799999999999999 ,0.0612               ,0.0576               ,0.021599999999999998 ,      0.025199999999999997 ,   0.043199999999999995 ,0.24839999999999998
0.0288               ,0.010799999999999999 ,0.025199999999999997 ,0.0576               ,0.0072               ,      0.025199999999999997 ,   0.021599999999999998 ,0.1764
0.0036               ,0.0144               ,0.054                ,0.0072               ,0.018                ,      0.0288               ,   0.018                ,0.14399999999999996
0.010799999999999999 ,0.021599999999999998 ,0.0468               ,0.0324               ,0.0036               ,      0.0144               ,   0.0324               ,0.16199999999999998
0.021599999999999998 ,0.0144               ,0.021599999999999998 ,0.025199999999999997 ,0.0144               ,      0.0072               ,   0.0288               ,0.13319999999999999
0.0144               ,0.0036               ,0.0324               ,0.010799999999999999 ,0.036                ,      0.0036               ,   0.0324               ,0.13319999999999999
0.0144               ,0.0                  ,0.0144               ,0.018                ,0.0288               ,      0.0144               ,   0.0072               ,0.0972
0.010799999999999999 ,0.0036               ,0.021599999999999998 ,0.0                  ,0.0324               ,      0.010799999999999999 ,   0.010799999999999999 ,0.09
0.0072               ,0.0072               ,0.0288               ,0.021599999999999998 ,0.0036               ,      0.0144               ,   0.0072               ,0.09
0.010799999999999999 ,0.010799999999999999 ,0.025199999999999997 ,0.0324               ,0.018                ,      0.0                  ,   0.0072               ,0.10439999999999999
0.0072               ,0.0036               ,0.025199999999999997 ,0.025199999999999997 ,0.0288               ,      0.010799999999999999 ,   0.010799999999999999 ,0.1116
0.0036               ,0.010799999999999999 ,0.010799999999999999 ,0.0288               ,0.0072               ,      0.0036               ,   0.0144               ,0.07919999999999999
0.0036               ,0.0036               ,0.025199999999999997 ,0.0324               ,0.010799999999999999 ,      0.018                ,   0.0072               ,0.1008
0.0144               ,0.010799999999999999 ,0.018                ,0.018                ,0.0072               ,      0.0                  ,   0.010799999999999999 ,0.0792
0.0036               ,0.0072               ,0.0072               ,0.0072               ,0.0144               ,      0.0072               ,   0.021599999999999998 ,0.06839999999999999
0.010799999999999999 ,0.0036               ,0.018                ,0.0144               ,0.025199999999999997 ,      0.0144               ,   0.010799999999999999 ,0.0972
0.0036               ,0.0036               ,0.025199999999999997 ,0.010799999999999999 ,0.0144               ,      0.0                  ,   0.0072               ,0.0648
0.0                  ,0.010799999999999999 ,0.010799999999999999 ,0.0036               ,0.0036               ,      0.0                  ,   0.0072               ,0.036
0.0036               ,0.0072               ,0.0288               ,0.0144               ,0.0072               ,      0.0036               ,   0.0                  ,0.0648
0.010799999999999999 ,0.0                  ,0.025199999999999997 ,0.025199999999999997 ,0.0072               ,      0.010799999999999999 ,   0.010799999999999999 ,0.09
0.0                  ,0.0072               ,0.0036               ,0.0036               ,0.0072               ,      0.018                ,   0.018                ,0.0576
0.0072               ,0.0072               ,0.0072               ,0.010799999999999999 ,0.010799999999999999 ,      0.0036               ,   0.0072               ,0.05399999999999999
0.0                  ,0.0072               ,0.0324               ,0.0144               ,0.0                  ,      0.0                  ,   0.010799999999999999 ,0.0648
0.0072               ,0.0                  ,0.0324               ,0.0                  ,0.010799999999999999 ,      0.018                ,   0.018                ,0.0864
0.010799999999999999 ,0.0036               ,0.010799999999999999 ,0.018                ,0.0                  ,      0.0144               ,   0.0072               ,0.0648
0.0                  ,0.0036               ,0.010799999999999999 ,0.021599999999999998 ,0.0036               ,      0.0144               ,   0.010799999999999999 ,0.0648
0.0036               ,0.0036               ,0.0144               ,0.010799999999999999 ,0.0072               ,      0.0                  ,   0.010799999999999999 ,0.05039999999999999
0.0                  ,0.0072               ,0.0288               ,0.025199999999999997 ,0.0072               ,      0.018                ,   0.0072               ,0.09359999999999999
0.0                  ,0.0036               ,0.010799999999999999 ,0.010799999999999999 ,0.0072               ,      0.010799999999999999 ,   0.025199999999999997 ,0.06839999999999999
0.0072               ,0.010799999999999999 ,0.0288               ,0.0288               ,0.0036               ,      0.0036               ,   0.0144               ,0.09720000000000001
0.0036               ,0.0                  ,0.010799999999999999 ,0.0036               ,0.0                  ,      0.0072               ,   0.0144               ,0.039599999999999996
0.0                  ,0.0036               ,0.010799999999999999 ,0.018                ,0.010799999999999999 ,      0.0                  ,   0.010799999999999999 ,0.05399999999999999
0.0144               ,0.0                  ,0.010799999999999999 ,0.0036               ,0.0                  ,      0.010799999999999999 ,   0.0072               ,0.046799999999999994
0.010799999999999999 ,0.0                  ,0.0072               ,0.0072               ,0.0072               ,      0.010799999999999999 ,   0.0144               ,0.0576
0.0                  ,0.0                  ,0.010799999999999999 ,0.021599999999999998 ,0.0                  ,      0.0036               ,   0.0144               ,0.0504
0.021599999999999998 ,0.0036               ,0.021599999999999998 ,0.0144               ,0.010799999999999999 ,      0.0                  ,   0.025199999999999997 ,0.0972
0.010799999999999999 ,0.010799999999999999 ,0.0072               ,0.021599999999999998 ,0.018                ,      0.0                  ,   0.0072               ,0.0756
0.0144               ,0.010799999999999999 ,0.0072               ,0.0324               ,0.0072               ,      0.0036               ,   0.0324               ,0.108
0.0072               ,0.021599999999999998 ,0.0036               ,0.0324               ,0.018                ,      0.0036               ,   0.036                ,0.12240000000000001
0.010799999999999999 ,0.0144               ,0.0036               ,0.0288               ,0.0036               ,      0.010799999999999999 ,   0.0288               ,0.1008
0.0324               ,0.018                ,0.0036               ,0.0468               ,0.0396               ,      0.0                  ,   0.043199999999999995 ,0.18359999999999999
0.0324               ,0.0144               ,0.0144               ,0.05039999999999999  ,0.025199999999999997 ,      0.0072               ,   0.0468               ,0.19079999999999997
0.025199999999999997 ,0.0288               ,0.025199999999999997 ,0.018                ,0.072                ,      0.010799999999999999 ,   0.021599999999999998 ,0.2016
0.0144               ,0.036                ,0.018                ,0.036                ,0.043199999999999995 ,      0.021599999999999998 ,   0.021599999999999998 ,0.1908
0.010799999999999999 ,0.0144               ,0.0144               ,0.0684               ,0.0684               ,      0.010799999999999999 ,   0.0396               ,0.2268
0.05039999999999999  ,0.0396               ,0.010799999999999999 ,0.0468               ,0.0828               ,      0.0072               ,   0.054                ,0.2916
0.0468               ,0.018                ,0.0144               ,0.0936               ,0.0576               ,      0.0144               ,   0.0396               ,0.28440000000000004
0.036                ,0.025199999999999997 ,0.0                  ,0.1152               ,0.043199999999999995 ,      0.0144               ,   0.108                ,0.34199999999999997
0.025199999999999997 ,0.0324               ,0.0324               ,0.043199999999999995 ,0.0684               ,      0.0144               ,   0.0576               ,0.27359999999999995
0.0144               ,0.0468               ,0.025199999999999997 ,0.054                ,0.0828               ,      0.043199999999999995 ,   0.0684               ,0.3348
