lambda_ ,ce ,cc ,z                  ,perc_e            ,perc_c            ,delay_perc_e     ,delay_perc_c     ,avg_delay_edge     ,avg_delay_cloud
   0.27 , 8 , 0 ,0.0                ,0.99998648223784  ,0                 ,83.4999999999995 , 0               ,24.661766288075256 , 0
   0.23 , 7 , 0 ,0.0                ,0.999994391498532 ,0                 ,78.9999999999998 , 0               ,24.20346392620997  , 0
   0.2  , 7 , 0 ,0.0                ,0.999994391498532 ,0                 ,78.9999999999998 , 0               ,24.20346392620997  , 0
   0.15 , 5 , 0 ,0.0                ,0.999998423050637 ,0                 ,73.6000000000001 , 0               ,23.556904532209135 , 0
   0.21 , 7 , 0 ,0.0                ,0.999994391498532 ,0                 ,78.9999999999998 , 0               ,24.20346392620997  , 0
   0.14 , 5 , 0 ,0.0                ,0.999998423050637 ,0                 ,73.6000000000001 , 0               ,23.556904532209135 , 0
   0.25 , 8 , 0 ,0.0                ,0.99998648223784  ,0                 ,83.4999999999995 , 0               ,24.661766288075256 , 0
   0.18 , 6 , 0 ,0.0                ,0.999991552243412 ,0                 ,80.9999999999997 , 0               ,24.237947046635508 , 0
   0.14 , 5 , 0 ,0.0                ,0.999998423050637 ,0                 ,73.6000000000001 , 0               ,23.556904532209135 , 0
   0.16 , 6 , 0 ,0.0                ,0.999991552243412 ,0                 ,80.9999999999997 , 0               ,24.237947046635508 , 0
   0.13 , 5 , 0 ,0.0                ,0.999998423050637 ,0                 ,73.6000000000001 , 0               ,23.556904532209135 , 0
   0.13 , 5 , 0 ,0.0                ,0.999998423050637 ,0                 ,73.6000000000001 , 0               ,23.556904532209135 , 0
   0.1  , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.09 , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.09 , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.1  , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.11 , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.08 , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.1  , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.08 , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.07 , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.1  , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.06 , 3 , 0 ,0.0                ,0.999999912536344 ,0                 ,64.6000000000006 , 0               ,22.719294252340035 , 0
   0.04 , 3 , 0 ,0.0                ,0.999999912536344 ,0                 ,64.6000000000006 , 0               ,22.719294252340035 , 0
   0.06 , 3 , 0 ,0.0                ,0.999999912536344 ,0                 ,64.6000000000006 , 0               ,22.719294252340035 , 0
   0.09 , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.06 , 3 , 0 ,0.0                ,0.999999912536344 ,0                 ,64.6000000000006 , 0               ,22.719294252340035 , 0
   0.05 , 3 , 0 ,0.0                ,0.999999912536344 ,0                 ,64.6000000000006 , 0               ,22.719294252340035 , 0
   0.06 , 3 , 0 ,0.0                ,0.999999912536344 ,0                 ,64.6000000000006 , 0               ,22.719294252340035 , 0
   0.09 , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.06 , 3 , 0 ,0.0                ,0.999999912536344 ,0                 ,64.6000000000006 , 0               ,22.719294252340035 , 0
   0.06 , 3 , 0 ,0.0                ,0.999999912536344 ,0                 ,64.6000000000006 , 0               ,22.719294252340035 , 0
   0.05 , 3 , 0 ,0.0                ,0.999999912536344 ,0                 ,64.6000000000006 , 0               ,22.719294252340035 , 0
   0.09 , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.07 , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.1  , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.04 , 3 , 0 ,0.0                ,0.999999912536344 ,0                 ,64.6000000000006 , 0               ,22.719294252340035 , 0
   0.05 , 3 , 0 ,0.0                ,0.999999912536344 ,0                 ,64.6000000000006 , 0               ,22.719294252340035 , 0
   0.05 , 3 , 0 ,0.0                ,0.999999912536344 ,0                 ,64.6000000000006 , 0               ,22.719294252340035 , 0
   0.06 , 3 , 0 ,0.0                ,0.999999912536344 ,0                 ,64.6000000000006 , 0               ,22.719294252340035 , 0
   0.05 , 3 , 0 ,0.0                ,0.999999912536344 ,0                 ,64.6000000000006 , 0               ,22.719294252340035 , 0
   0.1  , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.08 , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.11 , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.12 , 5 , 0 ,0.0                ,0.999998423050637 ,0                 ,73.6000000000001 , 0               ,23.556904532209135 , 0
   0.1  , 4 , 0 ,0.0                ,0.999997967110166 ,0                 ,74.5             , 0               ,23.472491341589635 , 0
   0.18 , 6 , 0 ,0.0                ,0.999991552243412 ,0                 ,80.9999999999997 , 0               ,24.237947046635508 , 0
   0.19 , 6 , 0 ,0.0                ,0.999991552243412 ,0                 ,80.9999999999997 , 0               ,24.237947046635508 , 0
   0.2  , 7 , 0 ,0.0                ,0.999994391498532 ,0                 ,78.9999999999998 , 0               ,24.20346392620997  , 0
   0.19 , 6 , 0 ,0.0                ,0.999991552243412 ,0                 ,80.9999999999997 , 0               ,24.237947046635508 , 0
   0.23 , 7 , 0 ,0.0                ,0.999994391498532 ,0                 ,78.9999999999998 , 0               ,24.20346392620997  , 0
   0.29 , 8 , 0 ,0.0                ,0.99998648223784  ,0                 ,83.4999999999995 , 0               ,24.661766288075256 , 0
   0.28 , 8 , 0 ,0.0                ,0.99998648223784  ,0                 ,83.4999999999995 , 0               ,24.661766288075256 , 0
   0.34 ,11 , 0 ,0.0                ,0.999999893472949 ,0                 ,65.7000000000005 , 0               ,23.447542824142566 , 0
   0.27 , 8 , 0 ,0.0                ,0.99998648223784  ,0                 ,83.4999999999995 , 0               ,24.661766288075256 , 0
   0.33 ,10 , 0 ,0.0                ,0.999999959365378 ,0                 ,63.5000000000006 , 0               ,23.216196006064372 , 0
   0.28 , 8 , 0 ,0.0                ,0.99998648223784  ,0                 ,83.4999999999995 , 0               ,24.661766288075256 , 0
   0.27 , 8 , 0 ,0.0                ,0.99998648223784  ,0                 ,83.4999999999995 , 0               ,24.661766288075256 , 0
   0.33 ,10 , 0 ,0.0                ,0.999999959365378 ,0                 ,63.5000000000006 , 0               ,23.216196006064372 , 0
   0.37 ,11 , 0 ,0.0                ,0.999999893472949 ,0                 ,65.7000000000005 , 0               ,23.447542824142566 , 0
   0.46 ,13 , 0 ,0.0                ,0.99999996226418  ,0                 ,63.5000000000006 , 0               ,23.351136221268128 , 0
   0.64 ,17 , 0 ,0.0                ,0.999999922350693 ,0                 ,65.1000000000006 , 0               ,23.64279440172001  , 0
   0.62 ,17 , 0 ,0.0                ,0.999999922350693 ,0                 ,65.1000000000006 , 0               ,23.64279440172001  , 0
   0.59 ,16 , 0 ,0.0                ,0.999999825323614 ,0                 ,67.0000000000005 , 0               ,23.780619772850873 , 0
   0.76 ,20 , 0 ,0.0                ,0.999999665021759 ,0                 ,68.9000000000004 , 0               ,24.074237689347793 , 0
   0.75 ,20 , 0 ,0.0                ,0.999999665021759 ,0                 ,68.9000000000004 , 0               ,24.074237689347793 , 0
   0.85 ,20 , 3 ,0.0599999999999992 ,0.999993041769216 ,0.999998875933648 ,80.0999999999997 ,72.2000000000002 ,25.061450239775024 ,23.14472703455434
   0.93 ,20 , 6 ,0.1499999999999992 ,0.999993041769216 ,0.999999985377513 ,80.0999999999997 ,61.3000000000006 ,25.061450239775024 ,22.80641313642824
   0.91 ,20 , 5 ,0.1099999999999992 ,0.999993041769216 ,0.999999990692993 ,80.0999999999997 ,60.4000000000006 ,25.061450239775024 ,22.67825709134579
   1.04 ,20 , 8 ,0.2299999999999993 ,0.999997510288859 ,0.999999887339656 ,75.6             ,65.7000000000005 ,24.671576979774613 ,23.268084425718918
   1.18 ,20 ,11 ,0.3199999999999994 ,0.999993041769216 ,0.999999648190229 ,80.0999999999997 ,68.8000000000004 ,25.061450239775024 ,23.707243144795573
   1.48 ,20 ,18 ,0.4599999999999995 ,0.999993041769216 ,0.999999505101731 ,80.0999999999997 ,70.0000000000003 ,25.061450239775024 ,24.110436651993112
   1.77 ,20 ,25 ,0.5599999999999996 ,0.999997510288859 ,0.999998351069019 ,75.6             ,74.3000000000001 ,24.671576979774613 ,24.699706365814986
   1.56 ,20 ,20 ,0.4899999999999995 ,0.999980283993904 ,0.999999665021759 ,85.4999999999994 ,68.9000000000004 ,25.536502884696603 ,24.074237689347793
   1.82 ,20 ,26 ,0.5699999999999997 ,0.999997510288859 ,0.999999018073691 ,75.6             ,72.6000000000002 ,24.671576979774613 ,24.574202565414726
   2.07 ,20 ,32 ,0.6199999999999999 ,0.999993041769216 ,0.999999866770938 ,80.0999999999997 ,68.5000000000004 ,25.061450239775024 ,24.353308213549383
   2.25 ,20 ,36 ,0.6499999999999999 ,0.999993041769216 ,0.999999956885436 ,80.0999999999997 ,67.4000000000004 ,25.061450239775024 ,24.43902554238948
   2.2  ,20 ,34 ,0.6399999999999999 ,0.999997510288859 ,0.999999882935342 ,75.6             ,69.5000000000003 ,24.671576979774613 ,24.609595537586774
   2.44 ,20 ,40 ,0.6799999999999999 ,0.999997510288859 ,0.999999979086583 ,75.6             ,66.7000000000005 ,24.671576979774613 ,24.613858169578435
   2.46 ,20 ,40 ,0.6799999999999999 ,0.999997510288859 ,0.999999979086583 ,75.6             ,66.7000000000005 ,24.671576979774613 ,24.613858169578435
   2.41 ,20 ,39 ,0.6699999999999999 ,0.999993041769216 ,0.999999967923635 ,80.0999999999997 ,67.5000000000004 ,25.061450239775024 ,24.692507406605074
   2.48 ,20 ,40 ,0.6799999999999999 ,0.999997510288859 ,0.999999979086583 ,75.6             ,66.7000000000005 ,24.671576979774613 ,24.613858169578435
   2.53 ,20 ,40 ,0.6799999999999999 ,0.999997510288859 ,0.999999979086583 ,75.6             ,66.7000000000005 ,24.671576979774613 ,24.613858169578435
   2.34 ,20 ,38 ,0.6699999999999999 ,0.999997510288859 ,0.999999854866275 ,75.6             ,71.2000000000002 ,24.671576979774613 ,25.431392238246318
   2.53 ,20 ,40 ,0.6799999999999999 ,0.999997510288859 ,0.999999979086583 ,75.6             ,66.7000000000005 ,24.671576979774613 ,24.613858169578435
   2.56 ,20 ,40 ,0.6799999999999999 ,0.999997510288859 ,0.999999979086583 ,75.6             ,66.7000000000005 ,24.671576979774613 ,24.613858169578435
   2.53 ,20 ,40 ,0.6799999999999999 ,0.999997510288859 ,0.999999979086583 ,75.6             ,66.7000000000005 ,24.671576979774613 ,24.613858169578435
   2.34 ,20 ,38 ,0.6699999999999999 ,0.999997510288859 ,0.999999854866275 ,75.6             ,71.2000000000002 ,24.671576979774613 ,25.431392238246318
   2.48 ,20 ,40 ,0.6799999999999999 ,0.999997510288859 ,0.999999979086583 ,75.6             ,66.7000000000005 ,24.671576979774613 ,24.613858169578435
   2.4  ,20 ,39 ,0.6699999999999999 ,0.999993041769216 ,0.999999967923635 ,80.0999999999997 ,67.5000000000004 ,25.061450239775024 ,24.692507406605074
   2.44 ,20 ,40 ,0.6799999999999999 ,0.999997510288859 ,0.999999979086583 ,75.6             ,66.7000000000005 ,24.671576979774613 ,24.613858169578435
   1.99 ,20 ,30 ,0.6099999999999998 ,0.999997510288859 ,0.99999960587916  ,75.6             ,71.0000000000002 ,24.671576979774613 ,24.54258149937853
   2.28 ,20 ,36 ,0.6499999999999999 ,0.999993041769216 ,0.999999956885436 ,80.0999999999997 ,67.4000000000004 ,25.061450239775024 ,24.43902554238948
   2.31 ,20 ,37 ,0.6599999999999999 ,0.999997510288859 ,0.999999920049443 ,75.6             ,69.4000000000003 ,24.671576979774613 ,24.863467566400033
   2.19 ,20 ,34 ,0.6399999999999999 ,0.999997510288859 ,0.999999882935342 ,75.6             ,69.5000000000003 ,24.671576979774613 ,24.609595537586774
   1.85 ,20 ,27 ,0.5799999999999997 ,0.999997510288859 ,0.99999942211512  ,75.6             ,71.1000000000002 ,24.671576979774613 ,24.458887041422045
   2.13 ,20 ,33 ,0.6299999999999999 ,0.999993041769216 ,0.999999924520483 ,80.0999999999997 ,67.4000000000004 ,25.061450239775024 ,24.26808081024158
   1.81 ,20 ,26 ,0.5699999999999997 ,0.999997510288859 ,0.999999018073691 ,75.6             ,72.6000000000002 ,24.671576979774613 ,24.574202565414726
   1.97 ,20 ,29 ,0.5999999999999998 ,0.999997510288859 ,0.999999322102424 ,75.6             ,72.3000000000002 ,24.671576979774613 ,24.647990672581546
   1.76 ,20 ,25 ,0.5599999999999996 ,0.999997510288859 ,0.999998351069019 ,75.6             ,74.3000000000001 ,24.671576979774613 ,24.699706365814986
   1.65 ,20 ,22 ,0.5199999999999996 ,0.999993041769216 ,0.999999725355963 ,80.0999999999997 ,68.3000000000004 ,25.061450239775024 ,24.081495924550605
   1.91 ,20 ,28 ,0.5899999999999997 ,0.999997510288859 ,0.999998834821124 ,75.6             ,73.8000000000001 ,24.671576979774613 ,24.761657166875498
   1.62 ,20 ,22 ,0.5199999999999996 ,0.999993041769216 ,0.999999725355963 ,80.0999999999997 ,68.3000000000004 ,25.061450239775024 ,24.081495924550605
   1.74 ,20 ,24 ,0.5499999999999996 ,0.999997510288859 ,0.999999153853142 ,75.6             ,71.8000000000002 ,24.671576979774613 ,24.447467619248382
   1.64 ,20 ,22 ,0.5199999999999996 ,0.999993041769216 ,0.999999725355963 ,80.0999999999997 ,68.3000000000004 ,25.061450239775024 ,24.081495924550605
   1.54 ,20 ,20 ,0.4899999999999995 ,0.999980283993904 ,0.999999665021759 ,85.4999999999994 ,68.9000000000004 ,25.536502884696603 ,24.074237689347793
   1.4  ,20 ,16 ,0.4299999999999995 ,0.999997510288859 ,0.999999607466297 ,75.6             ,69.3000000000003 ,24.671576979774613 ,23.97513824047873
   1.59 ,20 ,21 ,0.5099999999999996 ,0.999997510288859 ,0.999999504214459 ,75.6             ,70.0000000000003 ,24.671576979774613 ,24.207232626262293
