lambda_,ce,cc,z,perc_e,perc_c,delay_perc_e,delay_perc_c,avg_delay_edge,avg_delay_cloud
0.27,0,9,1.0,0,0.999999939153246,0,64.3000000000006,0,23.225635979446338
0.23,0,8,1.0,0,0.999999982756042,0,61.7000000000006,0,22.966219449939985
0.2,0,8,1.0,0,0.999999982756042,0,61.7000000000006,0,22.966219449939985
0.15,0,5,1.0,0,0.999998423050637,0,73.6000000000001,0,23.556904532209135
0.21,0,8,1.0,0,0.999999982756042,0,61.7000000000006,0,22.966219449939985
0.14,0,5,1.0,0,0.999998423050637,0,73.6000000000001,0,23.556904532209135
0.25,0,9,1.0,0,0.999999939153246,0,64.3000000000006,0,23.225635979446338
0.18,0,7,1.0,0,0.999999980632457,0,61.9000000000006,0,22.915451799040266
0.14,0,5,1.0,0,0.999998423050637,0,73.6000000000001,0,23.556904532209135
0.16,0,7,1.0,0,0.999999980632457,0,61.9000000000006,0,22.915451799040266
0.13,0,5,1.0,0,0.999998423050637,0,73.6000000000001,0,23.556904532209135
0.13,0,5,1.0,0,0.999998423050637,0,73.6000000000001,0,23.556904532209135
0.1,0,4,1.0,0,0.999997967110166,0,74.5,0,23.472491341589635
0.09,0,4,1.0,0,0.999997967110166,0,74.5,0,23.472491341589635
0.09,0,4,1.0,0,0.999997967110166,0,74.5,0,23.472491341589635
0.1,0,4,1.0,0,0.999997967110166,0,74.5,0,23.472491341589635
0.11,0,4,1.0,0,0.999997967110166,0,74.5,0,23.472491341589635
0.08,0,4,1.0,0,0.999997967110166,0,74.5,0,23.472491341589635
0.1,0,4,1.0,0,0.999997967110166,0,74.5,0,23.472491341589635
0.08,0,4,1.0,0,0.999997967110166,0,74.5,0,23.472491341589635
0.07,0,4,1.0,0,0.999997967110166,0,74.5,0,23.472491341589635
0.1,0,4,1.0,0,0.999997967110166,0,74.5,0,23.472491341589635
0.06,0,3,1.0,0,0.999999912536344,0,64.6000000000006,0,22.719294252340035
0.04,0,3,1.0,0,0.999999912536344,0,64.6000000000006,0,22.719294252340035
0.06,0,3,1.0,0,0.999999912536344,0,64.6000000000006,0,22.719294252340035
0.09,0,4,1.0,0,0.999997967110166,0,74.5,0,23.472491341589635
0.06,0,3,1.0,0,0.999999912536344,0,64.6000000000006,0,22.719294252340035
0.05,0,3,1.0,0,0.999999912536344,0,64.6000000000006,0,22.719294252340035
0.06,0,3,1.0,0,0.999999912536344,0,64.6000000000006,0,22.719294252340035
0.09,0,4,1.0,0,0.999997967110166,0,74.5,0,23.472491341589635
0.06,0,3,1.0,0,0.999999912536344,0,64.6000000000006,0,22.719294252340035
0.06,0,3,1.0,0,0.999999912536344,0,64.6000000000006,0,22.719294252340035
0.05,0,3,1.0,0,0.999999912536344,0,64.6000000000006,0,22.719294252340035
0.09,0,4,1.0,0,0.999997967110166,0,74.5,0,23.472491341589635
0.07,0,4,1.0,0,0.999997967110166,0,74.5,0,23.472491341589635
0.1,0,4,1.0,0,0.999997967110166,0,74.5,0,23.472491341589635
0.04,0,3,1.0,0,0.999999912536344,0,64.6000000000006,0,22.719294252340035
0.05,0,3,1.0,0,0.999999912536344,0,64.6000000000006,0,22.719294252340035
