ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
0 3 1.0 1.123 0.0444444444 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 4 1.0 2.124 0.0888888888 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 5 1.0 3.1249999999999996 0.1333333332 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 6 1.0 4.126 0.1777777776 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 7 1.0 5.127 0.222222222 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 8 1.0 6.127999999999998 0.2666666664 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 9 1.0 7.129 0.3111111108 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 10 1.0 8.13 0.3555555552 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 11 1.0 9.131 0.3999999996 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 12 1.0 10.132 0.444444444 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 13 1.0 11.133 0.4888888884 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 14 1.0 12.133999999999997 0.5333333328 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 15 1.0 13.135000000000002 0.5777777772 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 16 1.0 14.136 0.6222222216 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 17 1.0 15.137 0.666666666 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 18 1.0 16.138 0.7111111104 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 19 1.0 17.139 0.7555555548 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 20 1.0 18.14 0.7999999992 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 21 1.0 19.141 0.8444444436 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 22 1.0 20.142 0.888888888 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 23 1.0 21.143 0.9333333324 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 24 1.0 22.144 0.9777777768 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 25 1.0 23.145 1.0222222212 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 26 1.0 24.145999999999994 1.0666666656 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 27 1.0 25.147 1.11111111 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 28 1.0 26.148 1.1555555544 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 29 1.0 27.148999999999997 1.1999999988 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 30 1.0 28.15 1.2444444432 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 31 1.0 29.151000000000003 1.2888888876 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 32 1.0 30.152 1.333333332 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 33 1.0 31.153 1.3777777764 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 34 1.0 32.154 1.4222222208 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 35 1.0 33.155 1.4666666652 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 36 1.0 34.156 1.5111111096 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 37 1.0 35.157 1.555555554 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 38 1.0 36.158 1.5999999984 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 39 1.0 37.159 1.6444444428 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 40 1.0 38.16 1.6888888872 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
3 40 0.97 39.8609648351014 1.7333333316 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
4 40 0.95 41.240967032862 1.777777776 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
4 40 0.93 42.5494263734809 1.8222222204 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
pandas.errors.ParserError: Error tokenizing data. C error: Calling read(nbytes) on source failed. Try engine='python'.
