ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
0 2 0 1.48551648347 0.0444444444 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 4 0 2.97103296694 0.0888888888 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 5 0 4.395549450409999 0.1333333332 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 6 0 5.82006593388 0.1777777776 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 7 0 7.24458241735 0.222222222 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 8 0 8.669098900819998 0.2666666664 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 9 0 10.093615384289999 0.3111111108 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 10 0 11.51813186776 0.3555555552 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 11 0 12.94264835123 0.3999999996 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 12 0 14.3671648347 0.444444444 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 13 0 15.79168131817 0.4888888884 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 14 0 17.216197801639996 0.5333333328 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 15 0 18.64071428511 0.5777777772 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 16 0 20.065230768579998 0.6222222216 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 17 0 21.48974725205 0.666666666 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 18 0 22.91426373552 0.7111111104 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 19 0 24.33878021899 0.7555555548 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 20 0 25.76329670246 0.7999999992 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 21 0 27.18781318593 0.8444444436 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 22 0 28.6123296694 0.888888888 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 23 0 30.03684615287 0.9333333324 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 24 0 31.46136263634 0.9777777768 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 25 0 32.88587911981 1.0222222212 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 26 0 34.31039560327999 1.0666666656 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 27 0 35.73491208674999 1.11111111 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 28 0 37.15942857022 1.1555555544 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 29 0 38.58394505369 1.1999999988 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 30 0 40.008461537159995 1.2444444432 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 31 0 41.432978020629996 1.2888888876 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 32 0 42.8574945041 1.333333332 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 33 0 44.282010987570004 1.3777777764 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 34 0 45.70652747104 1.4222222208 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 35 0 47.13104395451 1.4666666652 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 36 0 48.55556043798 1.5111111096 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 37 0 49.98007692144999 1.555555554 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 38 0 51.40459340492 1.5999999984 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
0 39 0 52.82910988838999 1.6444444428 0.0444444444 18.1 22.8 100.0 0.999 1.4505494505
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
Not found
