ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
0 3 1 47.0 0.0444444444 0.0444444444 18.1 22.8 100.0 0.99999 2.0
0 4 1 64.0 0.0888888888 0.0444444444 18.1 22.8 100.0 0.99999 2.0
0 5 1 81.0 0.1333333332 0.0444444444 18.1 22.8 100.0 0.99999 2.0
0 7 1 113.0 0.1777777776 0.0444444444 18.1 22.8 100.0 0.99999 2.0
0 8 1 130.0 0.222222222 0.0444444444 18.1 22.8 100.0 0.99999 2.0
0 9 1 147.0 0.2666666664 0.0444444444 18.1 22.8 100.0 0.99999 2.0
0 10 1 164.0 0.3111111108 0.0444444444 18.1 22.8 100.0 0.99999 2.0
0 11 1 181.0 0.3555555552 0.0444444444 18.1 22.8 100.0 0.99999 2.0
0 12 1 198.0 0.3999999996 0.0444444444 18.1 22.8 100.0 0.99999 2.0
0 13 1 215.0 0.444444444 0.0444444444 18.1 22.8 100.0 0.99999 2.0
0 14 1 232.0 0.4888888884 0.0444444444 18.1 22.8 100.0 0.99999 2.0
0 15 1 249.0 0.5333333328 0.0444444444 18.1 22.8 100.0 0.99999 2.0
0 16 1 266.0 0.5777777772 0.0444444444 18.1 22.8 100.0 0.99999 2.0
