x,y
0,0
0.01,2.76359448843135e-46
0.02,1.18591000122956e-41
0.03,6.06184860616457e-39
0.04,5.05152950267098e-37
0.05,1.55813701881492e-35
0.06,2.56312623671064e-34
0.07,2.73229066708679e-33
0.08,2.12022305454751e-32
0.09,1.29095423608806e-31
0.1,6.491694190444e-31
0.11,2.79632979827774e-30
0.12,1.06002510673184e-29
0.13,3.60941898439074e-29
0.14,1.12167438560252e-28
0.15,3.22170966835248e-28
0.16,8.6400290907019e-28
0.17,2.18156302339156e-27
0.18,5.22201659293423e-27
0.19,1.19188613243504e-26
0.2,2.60662887484496e-26
0.21,5.48507596455883e-26
0.22,1.11455957675238e-25
0.23,2.19377158459502e-25
0.24,4.19396495557167e-25
0.25,7.80615098872425e-25
0.26,1.41755426224942e-24
0.27,2.51617931787887e-24
0.28,4.37283353294227e-24
0.29,7.45157737950537e-24
0.3,1.24674114120955e-23
0.31,2.05054403068234e-23
0.32,3.31893573860953e-23
0.33,5.29168672389714e-23
0.34,8.31850249384211e-23
0.35,1.2903519630563e-22
0.36,1.97655718210679e-22
0.37,2.99190690749708e-22
0.38,4.47816045722561e-22
0.39,6.63159547199916e-22
0.4,9.72160193140466e-22
0.41,1.41148517578373e-21
0.42,2.03064977467937e-21
0.43,2.89601803715976e-21
0.44,4.09590067805766e-21
0.45,5.74701223714096e-21
0.46,8.00260321415468e-21
0.47,1.10626458235652e-20
0.48,1.51865254710989e-20
0.49,2.07087754903799e-20
0.5,2.80584916811843e-20
0.51,3.77831775155733e-20
0.52,5.057790245459e-20
0.53,6.73208067644068e-20
0.54,8.91161588555753e-20
0.55,1.17346368025121e-19
0.56,1.53734579318982e-19
0.57,2.00419731053812e-19
0.58,2.60046242600673e-19
0.59,3.35870823868303e-19
0.6,4.3188926234609e-19
0.61,5.52986452695348e-19
0.62,7.05113392148046e-19
0.63,8.95495377156429e-19
0.64,1.13287620795812e-18
0.65,1.42780384347058e-18
0.66,1.79296365508469e-18
0.67,2.24356621077145e-18
0.68,2.79779738715171e-18
0.69,3.47733956395174e-18
0.7,4.30797371017866e-18
0.71,5.32027333248084e-18
0.72,6.55040253208543e-18
0.73,8.04103181652044e-18
0.74,9.84238684565832e-18
0.75,1.20134469686469e-17
0.76,1.46233122397663e-17
0.77,1.77527595985291e-17
0.78,2.14960110743716e-17
0.79,2.59627392416673e-17
0.8,3.12803377197725e-17
0.81,3.75964872993009e-17
0.82,4.50820512944288e-17
0.83,5.39343369870731e-17
0.84,6.43807635582972e-17
0.85,7.66829807121084e-17
0.86,9.11414863044309e-17
0.87,1.08100795713879e-16
0.88,1.27955220450118e-16
0.89,1.51155318610124e-16
0.9,1.78215085283278e-16
0.91,2.09719956894753e-16
0.92,2.46335709785494e-16
0.93,2.88818340079891e-16
0.94,3.38025019113094e-16
0.95,3.94926226404501e-16
0.96,4.60619170398061e-16
0.97,5.36342615971284e-16
0.98,6.23493247071076e-16
0.99,7.23643702795155e-16
1,8.3856243583282e-16
1.01,9.70235553439562e-16
1.02,1.12089081307854e-15
1.03,1.29302395755146e-15
1.04,1.48942758789695e-15
1.05,1.71322278658969e-15
1.06,1.96789371866745e-15
1.07,2.25732545438076e-15
1.08,2.58584527384114e-15
1.09,2.9582677319792e-15
1.1,3.37994378095127e-15
1.11,3.856814266999e-15
1.12,4.39546813970939e-15
1.13,5.0032057336894e-15
1.14,5.68810750590612e-15
1.15,6.45910863639244e-15
1.16,7.32607992573295e-15
1.17,8.29991544977059e-15
1.18,9.39262746035778e-15
1.19,1.06174490507796e-14
1.2,1.19889451357365e-14
1.21,1.35231323285572e-14
1.22,1.52376083326678e-14
1.23,1.71516915003244e-14
1.24,1.92865712492838e-14
1.25,2.16654700675e-14
1.26,2.43138178771413e-14
1.27,2.72594395723025e-14
1.28,3.05327565897784e-14
1.29,3.41670034192533e-14
1.3,3.81984600082862e-14
1.31,4.26667010686193e-14
1.32,4.76148633436638e-14
1.33,5.30899319525802e-14
1.34,5.91430469842509e-14
1.35,6.58298315747177e-14
1.36,7.32107427643585e-14
1.37,8.13514464963148e-14
1.38,9.03232181855264e-14
1.39,1.00203370358202e-13
1.4,1.11075708934815e-13
1.41,1.23031019805735e-13
1.42,1.36167587427571e-13
1.43,1.50591747250189e-13
1.44,1.66418473869307e-13
1.45,1.83772006887657e-13
1.46,2.02786516558946e-13
1.47,2.2360681138339e-13
1.48,2.46389089921536e-13
1.49,2.71301739194321e-13
1.5,2.98526182142313e-13
1.51,3.28257776725432e-13
1.52,3.60706769356627e-13
