ce cc z cost
20 27 0.5760000000000001 1124.8295999999998
20 27 0.578 1124.6613
20 27 0.58 1124.493
20 27 0.582 1124.3247000000001
20 27 0.584 1124.1564
20 27 0.586 1123.9881
20 28 0.588 1138.8198
20 28 0.59 1138.6515
20 28 0.592 1138.4832000000001
20 28 0.594 1138.3149
20 28 0.596 1138.1466
20 28 0.598 1137.9783
20 28 0.6 1137.81
19 28 0.602 1107.6417000000001
19 28 0.604 1107.4734
19 28 0.606 1107.3050999999998
19 28 0.608 1107.1368
19 29 0.61 1121.9685
19 29 0.612 1121.8002000000001
19 29 0.614 1121.6319
19 29 0.616 1121.4635999999998
19 29 0.618 1121.2953
19 29 0.62 1121.127
18 29 0.622 1090.9587000000001
18 29 0.624 1090.7904
18 29 0.626 1090.6220999999998
18 29 0.628 1090.4538
18 29 0.63 1090.2855
18 29 0.632 1090.1172000000001
18 29 0.634 1089.9489
18 29 0.636 1089.7805999999998
18 30 0.638 1104.6123
18 30 0.64 1104.444
18 30 0.642 1104.2757000000001
18 30 0.644 1104.1074
18 30 0.646 1103.9390999999998
17 30 0.648 1073.7708
17 30 0.65 1073.6025
17 30 0.652 1073.4342
17 30 0.654 1073.2659
17 30 0.656 1073.0976
17 30 0.658 1072.9293
17 31 0.66 1087.761
17 31 0.662 1087.5927
17 31 0.664 1087.4244
17 31 0.666 1087.2561
17 31 0.668 1087.0878
17 31 0.67 1086.9195
16 31 0.672 1056.7512
16 31 0.674 1056.5829
16 31 0.676 1056.4146
16 31 0.678 1056.2463
16 31 0.68 1056.078
16 32 0.682 1070.9097
16 32 0.684 1070.7414
16 32 0.686 1070.5731
16 32 0.6880000000000001 1070.4048
16 32 0.6900000000000001 1070.2365
15 32 0.6920000000000001 1040.0682
15 32 0.6940000000000001 1039.8999000000001
15 32 0.6960000000000001 1039.7316
15 32 0.6980000000000001 1039.5633
15 32 0.7000000000000001 1039.395
15 32 0.7020000000000001 1039.2267
15 32 0.704 1039.0584000000001
15 32 0.706 1038.8901
15 32 0.708 1038.7218
15 32 0.71 1038.5535
15 33 0.712 1053.3852
15 33 0.714 1053.2169000000001
14 33 0.716 1023.0486
14 33 0.718 1022.8803
14 33 0.72 1022.712
14 33 0.722 1022.5437000000001
14 33 0.724 1022.3754
14 33 0.726 1022.2071
14 33 0.728 1022.0388
14 33 0.73 1021.8705
14 33 0.732 1021.7022000000001
14 34 0.734 1036.5339
14 34 0.736 1036.3656
14 34 0.738 1036.1973
13 34 0.74 1006.029
13 34 0.742 1005.8607
13 34 0.744 1005.6924
13 34 0.746 1005.5241
13 34 0.748 1005.3558
13 34 0.75 1005.1875
13 34 0.752 1005.0192
13 34 0.754 1004.8509
13 34 0.756 1004.6826
13 34 0.758 1004.5143
13 34 0.76 1004.346
13 34 0.762 1004.1777
13 35 0.764 1019.0094
12 35 0.766 988.8411
12 35 0.768 988.6728
12 35 0.77 988.5045
12 35 0.772 988.3362
12 35 0.774 988.1679
12 35 0.776 987.9996
12 35 0.778 987.8313
12 35 0.78 987.663
12 35 0.782 987.4947
12 35 0.784 987.3264
12 35 0.786 987.1581
11 36 0.788 971.9898
11 36 0.79 971.8215
11 36 0.792 971.6532
11 36 0.794 971.4849
11 36 0.796 971.3166
11 36 0.798 971.1483
11 36 0.8 970.98
11 36 0.802 970.8117
11 36 0.804 970.6434
11 36 0.806 970.4751000000001
11 36 0.808 970.3068
11 36 0.81 970.1385
10 36 0.812 939.9702
10 36 0.8140000000000001 939.8019
10 36 0.8160000000000001 939.6336000000001
10 37 0.8180000000000001 954.4653
10 37 0.8200000000000001 954.297
10 37 0.8220000000000001 954.1287
10 37 0.8240000000000001 953.9604
10 37 0.8260000000000001 953.7920999999999
10 37 0.8280000000000001 953.6238
10 37 0.8300000000000001 953.4555
10 37 0.8320000000000001 953.2872
10 37 0.834 953.1189
9 37 0.836 922.9506000000001
9 37 0.838 922.7823
9 38 0.84 937.614
9 38 0.842 937.4457
9 38 0.844 937.2774000000001
9 38 0.846 937.1090999999999
9 38 0.848 936.9408
9 38 0.85 936.7725
9 38 0.852 936.6042
9 38 0.854 936.4359000000001
9 38 0.856 936.2676
8 38 0.858 906.0993
8 38 0.86 905.931
8 38 0.862 905.7627
8 39 0.864 920.5944
8 39 0.866 920.4261
8 39 0.868 920.2578
8 39 0.87 920.0895
8 39 0.872 919.9212
8 39 0.874 919.7529
8 39 0.876 919.5846
8 39 0.878 919.4163
7 39 0.88 889.248
7 39 0.882 889.0797
7 39 0.884 888.9114
7 40 0.886 903.7431
7 40 0.888 903.5748
7 40 0.89 903.4065
7 40 0.892 903.2382
7 40 0.894 903.0699
7 40 0.896 902.9016
7 40 0.898 902.7333
7 40 0.9 902.565
7 40 0.902 902.3967
6 40 0.904 872.2284
6 40 0.906 872.0601
