ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
3 0 0 1002.9999999999999 0.0444444444 0.0444444444 22.8 22.8 100.0 0.99999 0.5
4 0 0 2003.9999999999998 0.0888888888 0.0444444444 22.8 22.8 100.0 0.99999 0.5
5 0 0 3005.0 0.1333333332 0.0444444444 22.8 22.8 100.0 0.99999 0.5
7 0 0 4006.9999999999995 0.1777777776 0.0444444444 22.8 22.8 100.0 0.99999 0.5
8 0 0 5008.0 0.222222222 0.0444444444 22.8 22.8 100.0 0.99999 0.5
9 0 0 6009.0 0.2666666664 0.0444444444 22.8 22.8 100.0 0.99999 0.5
10 0 0 7010.0 0.3111111108 0.0444444444 22.8 22.8 100.0 0.99999 0.5
11 0 0 8010.999999999999 0.3555555552 0.0444444444 22.8 22.8 100.0 0.99999 0.5
12 0 0 9012.0 0.3999999996 0.0444444444 22.8 22.8 100.0 0.99999 0.5
13 0 0 10013.0 0.444444444 0.0444444444 22.8 22.8 100.0 0.99999 0.5
14 0 0 11014.0 0.4888888884 0.0444444444 22.8 22.8 100.0 0.99999 0.5
15 0 0 12015.0 0.5333333328 0.0444444444 22.8 22.8 100.0 0.99999 0.5
16 0 0 13016.000000000002 0.5777777772 0.0444444444 22.8 22.8 100.0 0.99999 0.5
17 0 0 14017.0 0.6222222216 0.0444444444 22.8 22.8 100.0 0.99999 0.5
18 0 0 15018.0 0.666666666 0.0444444444 22.8 22.8 100.0 0.99999 0.5
19 0 0 16018.999999999998 0.7111111104 0.0444444444 22.8 22.8 100.0 0.99999 0.5
20 0 0 17020.0 0.7555555548 0.0444444444 22.8 22.8 100.0 0.99999 0.5
20 2 0.019999999999999248 18383.99999999999 0.7999999992 0.0444444444 22.8 22.8 100.0 0.99999 0.5
20 4 0.06999999999999926 20357.999999999985 0.8444444436 0.0444444444 22.8 22.8 100.0 0.99999 0.5
20 5 0.11999999999999923 22429.999999999985 0.888888888 0.0444444444 22.8 22.8 100.0 0.99999 0.5
20 6 0.15999999999999925 24391.999999999985 0.9333333324 0.0444444444 22.8 22.8 100.0 0.99999 0.5
20 7 0.1999999999999993 26433.999999999985 0.9777777768 0.0444444444 22.8 22.8 100.0 0.99999 0.5
20 8 0.23999999999999932 28555.99999999999 1.0222222212 0.0444444444 22.8 22.8 100.0 0.99999 0.5
