ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
0 3 1.0 2.7586206896 0.0444444444 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 4 1.0 4.137931034399999 0.0888888888 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 5 1.0 5.5172413792 0.1333333332 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 7 1.0 7.586206896399999 0.1777777776 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 8 1.0 8.965517241199999 0.222222222 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 9 1.0 10.344827586 0.2666666664 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 10 1.0 11.7241379308 0.3111111108 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 11 1.0 13.103448275599998 0.3555555552 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 12 1.0 14.482758620399999 0.3999999996 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 13 1.0 15.862068965199999 0.444444444 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 14 1.0 17.24137931 0.4888888884 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 15 1.0 18.620689654799996 0.5333333328 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 16 1.0 19.9999999996 0.5777777772 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 17 1.0 21.379310344399997 0.6222222216 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 18 1.0 22.7586206892 0.666666666 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 19 1.0 24.137931033999998 0.7111111104 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 20 1.0 25.5172413788 0.7555555548 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 21 1.0 26.8965517236 0.7999999992 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 22 1.0 28.2758620684 0.8444444436 0.0444444444 13.68 22.8 100.0 0.99999 1.45
0 23 1.0 29.6551724132 0.888888888 0.0444444444 13.68 22.8 100.0 0.99999 1.45
