ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
0 3 1.0 1.3333333332 0.0444444444 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 4 1.0 1.9999999998 0.0888888888 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 5 1.0 2.6666666664 0.1333333332 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 7 1.0 3.6666666662999994 0.1777777776 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 8 1.0 4.3333333329 0.222222222 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 9 1.0 4.9999999995 0.2666666664 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 10 1.0 5.666666666099999 0.3111111108 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 11 1.0 6.3333333327 0.3555555552 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 12 1.0 6.9999999993 0.3999999996 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 13 1.0 7.666666665899999 0.444444444 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 14 1.0 8.3333333325 0.4888888884 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 15 1.0 8.9999999991 0.5333333328 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 16 1.0 9.6666666657 0.5777777772 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 17 1.0 10.333333332299999 0.6222222216 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 18 1.0 10.9999999989 0.666666666 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 19 1.0 11.6666666655 0.7111111104 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 20 1.0 12.3333333321 0.7555555548 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 21 1.0 12.9999999987 0.7999999992 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 22 1.0 13.6666666653 0.8444444436 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 23 1.0 14.333333331899999 0.888888888 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 24 1.0 14.9999999985 0.9333333324 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 25 1.0 15.6666666651 0.9777777768 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 26 1.0 16.3333333317 1.0222222212 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 27 1.0 16.999999998299998 1.0666666656 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 28 1.0 17.6666666649 1.11111111 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 29 1.0 18.3333333315 1.1555555544 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 30 1.0 18.9999999981 1.1999999988 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 31 1.0 19.666666664699996 1.2444444432 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 32 1.0 20.333333331299997 1.2888888876 0.0444444444 2.28 22.8 100.0 0.99999 3.0
0 33 1.0 20.999999997899998 1.333333332 0.0444444444 2.28 22.8 100.0 0.99999 3.0
