ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
3 0 0 3.9999999999999996 0.0444444444 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
4 0 0 5.999999999999999 0.0888888888 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
5 0 0 7.999999999999998 0.1333333332 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
6 0 0 9.999999999999998 0.1777777776 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
7 0 0 11.999999999999998 0.222222222 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
8 0 0 13.999999999999996 0.2666666664 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
9 0 0 15.999999999999996 0.3111111108 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
10 0 0 17.999999999999996 0.3555555552 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
11 0 0 19.999999999999996 0.3999999996 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
12 0 0 21.999999999999996 0.444444444 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
13 0 0 24.0 0.4888888884 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
14 0 0 25.999999999999993 0.5333333328 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
15 0 0 27.999999999999996 0.5777777772 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
16 0 0 29.999999999999993 0.6222222216 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
17 0 0 31.999999999999993 0.666666666 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
18 0 0 33.99999999999999 0.7111111104 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
19 0 0 36.0 0.7555555548 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 0 0 37.99999999999999 0.7999999992 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 3 0.04999999999999925 49.90000000118497 0.8444444436 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 4 0.09999999999999924 56.00000000179996 0.888888888 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 5 0.13999999999999924 61.88000000238197 0.9333333324 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 7 0.17999999999999927 70.92000000328797 0.9777777768 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 8 0.2199999999999993 77.12000000391797 1.0222222212 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 9 0.24999999999999933 83.00000000449995 1.0666666656 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 10 0.27999999999999936 89.00000000509996 1.11111111 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 11 0.3099999999999994 95.12000000571797 1.1555555544 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 12 0.3299999999999994 100.82000000627296 1.1999999988 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 13 0.35999999999999943 107.16000000692397 1.2444444432 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 14 0.37999999999999945 113.04000000750597 1.2888888876 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 15 0.39999999999999947 119.00000000809996 1.333333332 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 16 0.4199999999999995 125.04000000870597 1.3777777764 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 17 0.4399999999999995 131.16000000932397 1.4222222208 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 18 0.4599999999999995 137.36000000995395 1.4666666652 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 19 0.46999999999999953 142.96000001049396 1.5111111096 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 20 0.48999999999999955 149.30000001114496 1.555555554 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 21 0.49999999999999956 155.00000001169997 1.5999999984 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 22 0.5199999999999996 161.480000012372 1.6444444428 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 23 0.5299999999999996 167.28000001294197 1.6888888872 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 24 0.5399999999999996 173.12000001351797 1.7333333316 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 25 0.5499999999999996 179.00000001409998 1.777777776 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 26 0.5599999999999997 184.92000001468796 1.8222222204 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 27 0.5699999999999997 190.880000015282 1.8666666648 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 28 0.5799999999999997 196.880000015882 1.9111111092 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 29 0.5899999999999997 202.92000001648796 1.9555555536 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 30 0.5999999999999998 209.0000000171 1.999999998 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 31 0.6099999999999998 215.12000001771798 2.0444444424 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 32 0.6199999999999999 221.28000001834198 2.0888888868 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 33 0.6299999999999999 227.48000001897196 2.1333333312 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 34 0.6399999999999999 233.720000019608 2.1777777756 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 34 0.6399999999999999 236.00000001979998 2.22222222 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 36 0.6499999999999999 245.30000002074496 2.2666666644 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 37 0.6599999999999999 251.64000002139596 2.3111111088 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 37 0.6599999999999999 253.96000002159397 2.3555555532 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 39 0.6699999999999999 263.360000022554 2.3999999976 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 40 0.6799999999999999 269.80000002322 2.444444442 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
20 40 0.68 272.160000023424 2.4888888864 0.0444444444 11.4 22.8 100.0 0.99999 0.3333333333
