ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
0 3 1.0 691.7241379309 0.0444444444 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 4 1.0 1382.0689655170002 0.0888888888 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 5 1.0 2072.4137931031 0.1333333332 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 7 1.0 2763.4482758616 0.1777777776 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 8 1.0 3453.7931034477006 0.222222222 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 9 1.0 4144.1379310338 0.2666666664 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 10 1.0 4834.482758619901 0.3111111108 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 11 1.0 5524.827586206 0.3555555552 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 12 1.0 6215.172413792101 0.3999999996 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 13 1.0 6905.517241378201 0.444444444 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 14 1.0 7595.8620689643 0.4888888884 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 15 1.0 8286.206896550399 0.5333333328 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 16 1.0 8976.5517241365 0.5777777772 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 17 1.0 9666.8965517226 0.6222222216 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 18 1.0 10357.2413793087 0.666666666 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 19 1.0 11047.5862068948 0.7111111104 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 20 1.0 11737.931034480902 0.7555555548 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 21 1.0 12428.275862067001 0.7999999992 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 22 1.0 13118.6206896531 0.8444444436 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 23 1.0 13808.965517239201 0.888888888 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 24 1.0 14499.310344825302 0.9333333324 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 25 1.0 15189.655172411402 0.9777777768 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 26 1.0 15879.999999997503 1.0222222212 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 27 1.0 16570.344827583598 1.0666666656 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 28 1.0 17260.689655169703 1.11111111 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 29 1.0 17951.0344827558 1.1555555544 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 30 1.0 18641.3793103419 1.1999999988 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 31 1.0 19331.724137928002 1.2444444432 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 32 1.0 20022.0689655141 1.2888888876 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 33 1.0 20712.4137931002 1.333333332 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 34 1.0 21402.7586206863 1.3777777764 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 34 1.0 22092.4137931 1.4222222208 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 35 1.0 22782.7586206861 1.4666666652 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 36 1.0 23473.103448272203 1.5111111096 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 37 1.0 24163.448275858296 1.555555554 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 38 1.0 24853.793103444405 1.5999999984 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 39 1.0 25544.137931030502 1.6444444428 0.0444444444 2.28 22.8 100.0 0.99999 1.45
0 40 1.0 26234.482758616603 1.6888888872 0.0444444444 2.28 22.8 100.0 0.99999 1.45
3 40 0.97 27290.24137930606 1.7333333316 0.0444444444 2.28 22.8 100.0 0.99999 1.45
4 40 0.95 28238.482758616254 1.777777776 0.0444444444 2.28 22.8 100.0 0.99999 1.45
5 40 0.93 29199.137931029894 1.8222222204 0.0444444444 2.28 22.8 100.0 0.99999 1.45
6 40 0.9 30302.55172413318 1.8666666648 0.0444444444 2.28 22.8 100.0 0.99999 1.45
7 40 0.88 31291.137931029574 1.9111111092 0.0444444444 2.28 22.8 100.0 0.99999 1.45
8 40 0.86 32292.13793102942 1.9555555536 0.0444444444 2.28 22.8 100.0 0.99999 1.45
9 40 0.84 33305.55172413271 1.999999998 0.0444444444 2.28 22.8 100.0 0.99999 1.45
10 40 0.83 34188.62068964982 2.0444444424 0.0444444444 2.28 22.8 100.0 0.99999 1.45
11 40 0.81 35223.75862068414 2.0888888868 0.0444444444 2.28 22.8 100.0 0.99999 1.45
12 40 0.79 36271.310344821904 2.1333333312 0.0444444444 2.28 22.8 100.0 0.99999 1.45
13 40 0.77 37331.27586206312 2.1777777756 0.0444444444 2.28 22.8 100.0 0.99999 1.45
14 40 0.76 38248.4827586147 2.22222222 0.0444444444 2.28 22.8 100.0 0.99999 1.45
15 40 0.74 39330.172413786946 2.2666666644 0.0444444444 2.28 22.8 100.0 0.99999 1.45
16 40 0.73 40262.89655171784 2.3111111088 0.0444444444 2.28 22.8 100.0 0.99999 1.45
17 40 0.72 41201.82758620045 2.3555555532 0.0444444444 2.28 22.8 100.0 0.99999 1.45
18 40 0.7 42314.55172413132 2.3999999976 0.0444444444 2.28 22.8 100.0 0.99999 1.45
19 40 0.69 43268.99999999323 2.444444442 0.0444444444 2.28 22.8 100.0 0.99999 1.45
20 40 0.68 44229.65517240688 2.4888888864 0.0444444444 2.28 22.8 100.0 0.99999 1.45
