ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
8 0 0 14.156000006156 0.2736 0.0444444444 9.12 22.8 100.0 0.99999 1.0
7 0 0 12.103000005103 0.2268 0.0444444444 9.12 22.8 100.0 0.99999 1.0
7 0 0 11.455000004455 0.198 0.0444444444 9.12 22.8 100.0 0.99999 1.0
6 0 0 9.483000003483 0.1548 0.0444444444 9.12 22.8 100.0 0.99999 1.0
7 0 0 11.617000004617001 0.2052 0.0444444444 9.12 22.8 100.0 0.99999 1.0
5 0 0 8.078000003078 0.1368 0.0444444444 9.12 22.8 100.0 0.99999 1.0
8 0 0 13.589000005589 0.2484 0.0444444444 9.12 22.8 100.0 0.99999 1.0
6 0 0 9.969000003969 0.1764 0.0444444444 9.12 22.8 100.0 0.99999 1.0
5 0 0 8.24000000324 0.144 0.0444444444 9.12 22.8 100.0 0.99999 1.0
6 0 0 9.645000003645 0.162 0.0444444444 9.12 22.8 100.0 0.99999 1.0
5 0 0 7.997000002997 0.1332 0.0444444444 9.12 22.8 100.0 0.99999 1.0
5 0 0 7.997000002997 0.1332 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 0 0 6.187000002187 0.0972 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 0 0 6.025000002025 0.09 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 0 0 6.025000002025 0.09 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 0 0 6.349000002349 0.1044 0.0444444444 9.12 22.8 100.0 0.99999 1.0
5 0 0 7.511000002511 0.1116 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 0 0 5.782000001782 0.0792 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 0 0 6.268000002268 0.1008 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 0 0 5.782000001782 0.0792 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 4.539000001539 0.0684 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 0 0 6.187000002187 0.0972 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 4.458000001458 0.0648 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 3.81000000081 0.036 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 4.458000001458 0.0648 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 0 0 6.025000002025 0.09 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 4.296000001296 0.0576 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 4.2150000012149995 0.054 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 4.458000001458 0.0648 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 0 0 5.9440000019440005 0.0864 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 4.458000001458 0.0648 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 4.458000001458 0.0648 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 4.134000001134 0.0504 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 0 0 6.106000002106001 0.0936 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 4.539000001539 0.0684 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 0 0 6.187000002187 0.0972 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 3.891000000891 0.0396 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 4.2150000012149995 0.054 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 4.053000001053 0.0468 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 4.296000001296 0.0576 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 0 0 4.134000001134 0.0504 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 0 0 6.187000002187 0.0972 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 0 0 5.701000001701 0.0756 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 1 0.019999999999999248 7.43000000243 0.108 0.0444444444 9.12 22.8 100.0 0.99999 1.0
5 0 0 7.754000002754 0.1224 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 0 0 6.268000002268 0.1008 0.0444444444 9.12 22.8 100.0 0.99999 1.0
6 0 0 10.131000004131 0.1836 0.0444444444 9.12 22.8 100.0 0.99999 1.0
6 0 0 10.293000004292999 0.1908 0.0444444444 9.12 22.8 100.0 0.99999 1.0
7 0 0 11.536000004536 0.2016 0.0444444444 9.12 22.8 100.0 0.99999 1.0
6 0 0 10.293000004292999 0.1908 0.0444444444 9.12 22.8 100.0 0.99999 1.0
7 0 0 12.103000005103 0.2268 0.0444444444 9.12 22.8 100.0 0.99999 1.0
9 0 0 15.561000006561 0.2916 0.0444444444 9.12 22.8 100.0 0.99999 1.0
9 0 0 15.399000006399 0.2844 0.0444444444 9.12 22.8 100.0 0.99999 1.0
10 0 0 17.695000007695 0.342 0.0444444444 9.12 22.8 100.0 0.99999 1.0
8 0 0 14.156000006156 0.2736 0.0444444444 9.12 22.8 100.0 0.99999 1.0
10 0 0 17.533000007533 0.3348 0.0444444444 9.12 22.8 100.0 0.99999 1.0
8 0 0 14.237000006237 0.2772 0.0444444444 9.12 22.8 100.0 0.99999 1.0
8 0 0 14.075000006075001 0.27 0.0444444444 9.12 22.8 100.0 0.99999 1.0
10 0 0 17.371000007371002 0.3276 0.0444444444 9.12 22.8 100.0 0.99999 1.0
11 0 0 19.262000008262 0.3672 0.0444444444 9.12 22.8 100.0 0.99999 1.0
13 0 0 23.368000010368 0.4608 0.0444444444 9.12 22.8 100.0 0.99999 1.0
17 0 0 31.499000014499 0.6444 0.0444444444 9.12 22.8 100.0 0.99999 1.0
16 0 0 29.851000013851 0.6156 0.0444444444 9.12 22.8 100.0 0.99999 1.0
16 0 0 29.203000013203003 0.5868 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 0 0 36.172000017171996 0.7632 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 0 0 35.848000016848005 0.7488 0.0444444444 9.12 22.8 100.0 0.99999 1.0
20 3 0.059999999999999255 42.197000019197 0.8532 0.0444444444 9.12 22.8 100.0 0.99999 1.0
20 5 0.13999999999999924 45.898000020897996 0.9288 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 23 1.0 43.412000020412 0.9072 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 26 1.0 49.409000023409 1.0404 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 29 1.0 55.487000026487 1.1772 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 36 1.0 69.372000033372 1.4832 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 40 0.96 83.771000039771 1.7676 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 36 0.95 75.154000035154 1.5624 0.0444444444 9.12 22.8 100.0 0.99999 1.0
5 40 0.93 85.90500004090501 1.818 0.0444444444 9.12 22.8 100.0 0.99999 1.0
11 40 0.82 97.575000046575 2.07 0.0444444444 9.12 22.8 100.0 0.99999 1.0
15 40 0.75 105.706000050706 2.2536 0.0444444444 9.12 22.8 100.0 0.99999 1.0
15 40 0.75 104.41000004941002 2.196 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 40 0.69 113.918000054918 2.4408 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 40 0.69 114.323000055323 2.4588 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 40 0.7 113.189000054189 2.4084 0.0444444444 9.12 22.8 100.0 0.99999 1.0
20 40 0.68 115.89000005589 2.484 0.0444444444 9.12 22.8 100.0 0.99999 1.0
18 40 0.71 110.73100005273099 2.3436 0.0444444444 9.12 22.8 100.0 0.99999 1.0
18 40 0.71 110.65000005265 2.34 0.0444444444 9.12 22.8 100.0 0.99999 1.0
20 40 0.68 115.728000055728 2.4768 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 40 0.7 113.108000054108 2.4048 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 40 0.69 113.918000054918 2.4408 0.0444444444 9.12 22.8 100.0 0.99999 1.0
10 40 0.83 94.712000044712 1.9872 0.0444444444 9.12 22.8 100.0 0.99999 1.0
16 40 0.74 107.192000051192 2.2752 0.0444444444 9.12 22.8 100.0 0.99999 1.0
16 40 0.73 107.921000051921 2.3076 0.0444444444 9.12 22.8 100.0 0.99999 1.0
14 40 0.77 103.32900004932901 2.1924 0.0444444444 9.12 22.8 100.0 0.99999 1.0
7 40 0.89 88.715000041715 1.854 0.0444444444 9.12 22.8 100.0 0.99999 1.0
12 40 0.79 100.033000048033 2.1348 0.0444444444 9.12 22.8 100.0 0.99999 1.0
6 40 0.91 86.743000040743 1.8108 0.0444444444 9.12 22.8 100.0 0.99999 1.0
8 40 0.86 92.307000044307 1.9692 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 40 0.96 83.528000039528 1.7568 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 39 0.98 79.017000037017 1.6452 0.0444444444 9.12 22.8 100.0 0.99999 1.0
7 40 0.88 90.011000043011 1.9116 0.0444444444 9.12 22.8 100.0 0.99999 1.0
7 35 0.8799999999999999 78.531000036531 1.6236 0.0444444444 9.12 22.8 100.0 0.99999 1.0
7 36 0.8699999999999999 82.204000039204 1.7424 0.0444444444 9.12 22.8 100.0 0.99999 1.0
6 36 0.8999999999999999 78.85500003685499 1.638 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 36 0.97 73.58700003458699 1.5372 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 34 0.99 67.42800003142801 1.3968 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 38 0.99 75.883000035883 1.5948 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 37 0.99 74.235000035235 1.566 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 36 0.99 71.69600003369601 1.4976 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 36 0.99 72.506000034506 1.5336 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 36 0.98 72.749000034749 1.5444 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 38 0.99 75.721000035721 1.5876 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 38 0.96 78.503000037503 1.6668 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 37 0.99 73.992000034992 1.5552 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 37 0.99 74.154000035154 1.5624 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 37 0.99 74.316000035316 1.5696 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 38 0.99 75.559000035559 1.5804 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 35 0.99 70.291000033291 1.4796 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 35 0.98 70.534000033534 1.4904 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 34 0.99 67.671000031671 1.4076 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 35 0.99 70.048000033048 1.4688 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 34 0.99 67.995000031995 1.422 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 31 0.99 61.755000028755006 1.278 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 38 0.99 76.207000036207 1.6092 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 37 0.99 74.154000035154 1.5624 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 37 0.99 73.58700003458699 1.5372 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 32 0.99 64.051000030051 1.3356 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 37 0.99 73.91100003491101 1.5516 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 39 0.99 78.017000037017 1.6452 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 32 0.99 62.998000028998 1.2888 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 39 0.99 78.17900003717901 1.6524 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 36 0.99 72.506000034506 1.5336 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 37 0.96 76.612000036612 1.6272 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 37 0.96 76.531000036531 1.6236 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 37 0.97 75.964000035964 1.5984 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 35 0.99 69.886000032886 1.4616 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 37 0.99 74.316000035316 1.5696 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 39 0.99 77.69300003669301 1.6308 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 35 0.99 70.372000033372 1.4832 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 37 0.99 74.235000035235 1.566 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 34 0.99 68.157000032157 1.4292 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 36 0.99 72.34400003434399 1.5264 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 38 0.99 76.369000036369 1.6164 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 36 0.99 72.263000034263 1.5228 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 37 0.99 74.073000035073 1.5588 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 35 0.99 70.21000003321001 1.476 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 32 0.99 62.998000028998 1.2888 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 38 0.99 76.045000036045 1.602 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 37 0.99 74.073000035073 1.5588 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 34 0.99 67.752000031752 1.4112 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 39 0.99 78.017000037017 1.6452 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 36 0.99 71.69600003369601 1.4976 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 35 0.99 70.372000033372 1.4832 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 36 0.99 72.02000003402 1.512 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 37 0.99 74.154000035154 1.5624 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 37 0.99 74.478000035478 1.5768 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 38 0.96 78.503000037503 1.6668 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 38 0.99 75.802000035802 1.5912 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 39 0.99 78.098000037098 1.6488 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 40 0.95 83.852000039852 1.7712 0.0444444444 9.12 22.8 100.0 0.99999 1.0
5 40 0.92 86.31000004131 1.836 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 38 0.98 77.045000036045 1.602 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 40 0.96 83.609000039609 1.7604 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 38 0.99 75.802000035802 1.5912 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 38 0.99 75.883000035883 1.5948 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 36 0.99 72.263000034263 1.5228 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 40 0.97 82.285000039285 1.746 0.0444444444 9.12 22.8 100.0 0.99999 1.0
5 40 0.93 85.66200004066201 1.8072 0.0444444444 9.12 22.8 100.0 0.99999 1.0
9 40 0.84 94.198000045198 2.0088 0.0444444444 9.12 22.8 100.0 0.99999 1.0
5 36 0.9299999999999999 76.64000003564 1.584 0.0444444444 9.12 22.8 100.0 0.99999 1.0
5 40 0.93 85.743000040743 1.8108 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 40 0.96 82.961000038961 1.7316 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 40 0.95 84.176000040176 1.7856 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 38 0.98 76.883000035883 1.5948 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 37 0.99 73.91100003491101 1.5516 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 40 0.99 80.475000038475 1.71 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 38 0.99 75.883000035883 1.5948 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 40 0.99 80.232000038232 1.6992 0.0444444444 9.12 22.8 100.0 0.99999 1.0
6 40 0.9 88.12000004212001 1.872 0.0444444444 9.12 22.8 100.0 0.99999 1.0
6 40 0.9 88.282000042282 1.8792 0.0444444444 9.12 22.8 100.0 0.99999 1.0
9 40 0.85 93.469000044469 1.9764 0.0444444444 9.12 22.8 100.0 0.99999 1.0
3 40 0.98 81.07000003806999 1.692 0.0444444444 9.12 22.8 100.0 0.99999 1.0
9 40 0.85 93.55000004455 1.98 0.0444444444 9.12 22.8 100.0 0.99999 1.0
8 40 0.87 91.416000043416 1.9296 0.0444444444 9.12 22.8 100.0 0.99999 1.0
8 40 0.87 91.011000043011 1.9116 0.0444444444 9.12 22.8 100.0 0.99999 1.0
8 40 0.86 92.226000044226 1.9656 0.0444444444 9.12 22.8 100.0 0.99999 1.0
9 40 0.85 93.469000044469 1.9764 0.0444444444 9.12 22.8 100.0 0.99999 1.0
9 40 0.85 93.14500004414501 1.962 0.0444444444 9.12 22.8 100.0 0.99999 1.0
7 40 0.89 89.12000004212001 1.872 0.0444444444 9.12 22.8 100.0 0.99999 1.0
6 37 0.9099999999999999 80.746000037746 1.6776 0.0444444444 9.12 22.8 100.0 0.99999 1.0
12 40 0.8 99.22300004722301 2.0988 0.0444444444 9.12 22.8 100.0 0.99999 1.0
14 40 0.76 103.977000049977 2.2212 0.0444444444 9.12 22.8 100.0 0.99999 1.0
12 40 0.7999999999999999 98.33200004633201 2.0592 0.0444444444 9.12 22.8 100.0 0.99999 1.0
12 40 0.79 100.276000048276 2.1456 0.0444444444 9.12 22.8 100.0 0.99999 1.0
16 40 0.74 107.192000051192 2.2752 0.0444444444 9.12 22.8 100.0 0.99999 1.0
16 40 0.74 106.787000050787 2.2572 0.0444444444 9.12 22.8 100.0 0.99999 1.0
10 40 0.83 95.03600004503599 2.0016 0.0444444444 9.12 22.8 100.0 0.99999 1.0
16 40 0.74 107.03000005103 2.268 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 40 0.69 113.83700005483699 2.4372 0.0444444444 9.12 22.8 100.0 0.99999 1.0
13 40 0.78 100.952000047952 2.1312 0.0444444444 9.12 22.8 100.0 0.99999 1.0
15 40 0.75 105.301000050301 2.2356 0.0444444444 9.12 22.8 100.0 0.99999 1.0
11 40 0.82 97.008000046008 2.0448 0.0444444444 9.12 22.8 100.0 0.99999 1.0
17 40 0.72 109.56900005256898 2.3364 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 40 0.69 114.242000055242 2.4552 0.0444444444 9.12 22.8 100.0 0.99999 1.0
15 40 0.75 105.139000050139 2.2284 0.0444444444 9.12 22.8 100.0 0.99999 1.0
16 40 0.73 108.245000052245 2.322 0.0444444444 9.12 22.8 100.0 0.99999 1.0
15 40 0.75 104.81500004981501 2.214 0.0444444444 9.12 22.8 100.0 0.99999 1.0
13 40 0.78 101.60000004860001 2.16 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 40 0.69 113.675000054675 2.43 0.0444444444 9.12 22.8 100.0 0.99999 1.0
12 40 0.8 98.656000046656 2.0736 0.0444444444 9.12 22.8 100.0 0.99999 1.0
10 40 0.83 95.11700004511701 2.0052 0.0444444444 9.12 22.8 100.0 0.99999 1.0
13 40 0.78 101.681000048681 2.1636 0.0444444444 9.12 22.8 100.0 0.99999 1.0
11 40 0.82 97.17000004617 2.052 0.0444444444 9.12 22.8 100.0 0.99999 1.0
6 40 0.91 86.743000040743 1.8108 0.0444444444 9.12 22.8 100.0 0.99999 1.0
14 40 0.77 103.08600004908601 2.1816 0.0444444444 9.12 22.8 100.0 0.99999 1.0
13 40 0.78 101.195000048195 2.142 0.0444444444 9.12 22.8 100.0 0.99999 1.0
15 40 0.75 105.625000050625 2.25 0.0444444444 9.12 22.8 100.0 0.99999 1.0
9 40 0.85 92.821000043821 1.9476 0.0444444444 9.12 22.8 100.0 0.99999 1.0
8 40 0.87 90.93000004293 1.908 0.0444444444 9.12 22.8 100.0 0.99999 1.0
11 40 0.82 97.08900004608901 2.0484 0.0444444444 9.12 22.8 100.0 0.99999 1.0
11 40 0.81 98.06100004706101 2.0916 0.0444444444 9.12 22.8 100.0 0.99999 1.0
8 40 0.87 91.416000043416 1.9296 0.0444444444 9.12 22.8 100.0 0.99999 1.0
9 40 0.85 93.469000044469 1.9764 0.0444444444 9.12 22.8 100.0 0.99999 1.0
6 40 0.91 87.39100004139101 1.8396 0.0444444444 9.12 22.8 100.0 0.99999 1.0
5 40 0.94 85.338000040338 1.7928 0.0444444444 9.12 22.8 100.0 0.99999 1.0
5 40 0.9299999999999999 85.176000040176 1.7856 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 39 0.99 77.774000036774 1.6344 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 39 0.99 78.017000037017 1.6452 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 37 0.99 73.83000003483 1.548 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 35 0.99 69.724000032724 1.4544 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 32 0.99 63.565000029565 1.314 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 32 0.99 63.97000002997 1.332 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 33 0.99 66.023000031023 1.3788 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 31 0.99 61.593000028592996 1.2708 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 26 0.99 51.166000023166006 1.0296 0.0444444444 9.12 22.8 100.0 0.99999 1.0
2 27 0.99 53.138000024138 1.0728 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 23 1.0 43.574000020574005 0.9144 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 24 1.0 45.222000021222 0.9432 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 22 1.0 41.44000001944 0.864 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 27 1.0 50.733000023733 1.0548 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 22 1.0 41.44000001944 0.864 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 20 1.0 37.091000017091005 0.7596 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 23 1.0 43.088000020088 0.8928 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 22 1.0 40.792000018792 0.8352 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 22 1.0 40.792000018792 0.8352 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 22 1.0 41.521000019521 0.8676 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 20 1.0 36.767000016767 0.7452 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 19 1.0 35.362000016362 0.7272 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 20 1.0 37.577000017577 0.7812 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 19 1.0 35.2000000162 0.72 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 21 1.0 39.387000018387 0.8172 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 22 1.0 40.873000018873 0.8388 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 24 1.0 44.817000020817005 0.9252 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 22 1.0 41.197000019197 0.8532 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 20 1.0 36.848000016848005 0.7488 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 21 1.0 38.82000001782 0.792 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 20 1.0 37.415000017415 0.774 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 19 1.0 35.119000016119 0.7164 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 23 1.0 43.493000020493 0.9108 0.0444444444 9.12 22.8 100.0 0.99999 1.0
