ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
0 3 1.0 0.11750000000000001 0.0444444444 0.0444444444 18.1 22.8 100.0 0.99999 0.0
0 4 1.0 0.23500000000000001 0.0888888888 0.0444444444 18.1 22.8 100.0 0.99999 0.0
0 6 1.0 0.3524999999999999 0.1333333332 0.0444444444 18.1 22.8 100.0 0.99999 0.0
0 7 1.0 0.47000000000000003 0.1777777776 0.0444444444 18.1 22.8 100.0 0.99999 0.0
0 8 1.0 0.5875 0.222222222 0.0444444444 18.1 22.8 100.0 0.99999 0.0
0 8 1.0 0.7049999999999998 0.2666666664 0.0444444444 18.1 22.8 100.0 0.99999 0.0
0 10 1.0 0.8224999999999999 0.3111111108 0.0444444444 18.1 22.8 100.0 0.99999 0.0
0 11 1.0 0.9400000000000001 0.3555555552 0.0444444444 18.1 22.8 100.0 0.99999 0.0
0 12 1.0 1.0575 0.3999999996 0.0444444444 18.1 22.8 100.0 0.99999 0.0
0 12 1.0 1.175 0.444444444 0.0444444444 18.1 22.8 100.0 0.99999 0.0
0 14 1.0 1.2925 0.4888888884 0.0444444444 18.1 22.8 100.0 0.99999 0.0
