lambda,z,ce,cc,edge_avg,cloud_avg,edge_0.0,edge_0.05,edge_0.1,edge_0.15000000000000002,edge_0.2,edge_0.25,edge_0.30000000000000004,edge_0.35000000000000003,edge_0.4,edge_0.45,edge_0.5,edge_0.55,edge_0.6000000000000001,edge_0.65,edge_0.7000000000000001,edge_0.75,edge_0.8,edge_0.8500000000000001,edge_0.9,edge_0.9500000000000001,edge_0.99,edge_0.999,edge_0.9999,edge_0.99999,cloud_0.0,cloud_0.05,cloud_0.1,cloud_0.15000000000000002,cloud_0.2,cloud_0.25,cloud_0.30000000000000004,cloud_0.35000000000000003,cloud_0.4,cloud_0.45,cloud_0.5,cloud_0.55,cloud_0.6000000000000001,cloud_0.65,cloud_0.7000000000000001,cloud_0.75,cloud_0.8,cloud_0.8500000000000001,cloud_0.9,cloud_0.9500000000000001,cloud_0.99,cloud_0.999,cloud_0.9999,cloud_0.99999
1.7333333316,0.97,2.0,40.0,46.54076335818317,74.39408120550294,23.5,33.1,34.8,36.1,37.3,38.3,39.3,40.2,41.2,42.2,43.3,44.5,45.8,47.3,49.1,51.2,53.9,57.4,62.2,70.4,89.80000000000001,117.4,147.6,185.0,54.3,64.6,66.3,67.5,68.5,69.4,70.3,71.1,71.9,72.7,73.5,74.3,75.2,76.1,77.2,78.3,79.6,81.2,83.3,86.7,93.9,103.1,110.3,116.6
1.777777776,0.95,3.0,40.0,45.58471578556592,74.39408120550294,22.6,33.0,34.8,36.1,37.2,38.2,39.2,40.1,41.1,42.0,43.0,44.1,45.3,46.6,48.1,50.0,52.2,55.2,59.4,66.4,82.9,106.69999999999999,129.8,149.7,54.3,64.6,66.3,67.5,68.5,69.4,70.3,71.1,71.9,72.7,73.5,74.3,75.2,76.1,77.2,78.3,79.6,81.2,83.3,86.7,93.9,103.1,110.3,116.6
1.8666666648,0.9,5.0,40.0,48.92474246265276,74.39408120550294,23.6,33.7,35.7,37.1,38.400000000000006,39.6,40.7,41.8,43.0,44.2,45.5,46.900000000000006,48.400000000000006,50.1,52.1,54.5,57.4,61.1,66.4,75.4,95.80000000000001,122.5,147.0,158.5,54.3,64.6,66.3,67.5,68.5,69.4,70.3,71.1,71.9,72.7,73.5,74.3,75.2,76.1,77.2,78.3,79.6,81.2,83.3,86.7,93.9,103.1,110.3,116.6
1.9111111092,0.88,6.0,40.0,48.57975297279548,74.39408120550294,22.8,33.8,35.7,37.2,38.400000000000006,39.6,40.7,41.8,42.900000000000006,44.1,45.3,46.7,48.2,49.900000000000006,51.800000000000004,54.0,56.800000000000004,60.300000000000004,65.4,73.80000000000001,93.80000000000001,120.80000000000001,146.0,162.29999999999998,54.3,64.6,66.3,67.5,68.5,69.4,70.3,71.1,71.9,72.7,73.5,74.3,75.2,76.1,77.2,78.3,79.6,81.2,83.3,86.7,93.9,103.1,110.3,116.6
1.9555555536,0.86,7.0,40.0,48.65047980699176,74.39408120550294,23.400000000000002,33.900000000000006,35.8,37.3,38.5,39.7,40.8,42.0,43.1,44.3,45.5,46.900000000000006,48.3,50.0,51.9,54.1,56.800000000000004,60.300000000000004,65.2,73.6,92.80000000000001,119.9,143.4,157.5,54.3,64.6,66.3,67.5,68.5,69.4,70.3,71.1,71.9,72.7,73.5,74.3,75.2,76.1,77.2,78.3,79.6,81.2,83.3,86.7,93.9,103.1,110.3,116.6
1.999999998,0.84,8.0,40.0,49.16701866206391,74.39408120550294,23.200000000000003,34.0,36.0,37.5,38.8,40.0,41.1,42.3,43.5,44.7,46.0,47.400000000000006,48.900000000000006,50.6,52.5,54.800000000000004,57.6,61.300000000000004,66.30000000000001,74.80000000000001,93.69999999999999,120.4,146.4,164.2,54.3,64.6,66.3,67.5,68.5,69.4,70.3,71.1,71.9,72.7,73.5,74.3,75.2,76.1,77.2,78.3,79.6,81.2,83.3,86.7,93.9,103.1,110.3,116.6
2.1333333312,0.79,11.0,40.0,48.11388157302079,74.39408120550294,23.6,34.0,35.900000000000006,37.400000000000006,38.7,39.8,40.900000000000006,42.0,43.1,44.3,45.5,46.7,48.1,49.7,51.4,53.4,55.9,59.1,63.4,70.80000000000001,87.69999999999999,108.80000000000001,124.9,134.0,54.3,64.6,66.3,67.5,68.5,69.4,70.3,71.1,71.9,72.7,73.5,74.3,75.2,76.1,77.2,78.3,79.6,81.2,83.3,86.7,93.9,103.1,110.3,116.6
2.1777777756,0.77,12.0,40.0,50.10935774929061,73.90682053368454,23.200000000000003,34.3,36.400000000000006,37.900000000000006,39.3,40.6,41.8,43.0,44.2,45.5,46.8,48.3,49.900000000000006,51.7,53.7,56.1,59.0,62.7,67.9,76.7,96.1,118.5,132.0,140.4,54.0,64.4,66.1,67.3,68.3,69.2,70.0,70.8,71.6,72.4,73.1,73.9,74.8,75.7,76.6,77.7,78.9,80.4,82.4,85.5,91.9,99.9,106.4,112.2
2.22222222,0.76,13.0,40.0,46.729317671930545,74.39408120550294,22.900000000000002,33.8,35.7,37.1,38.3,39.400000000000006,40.400000000000006,41.400000000000006,42.5,43.5,44.6,45.8,47.0,48.3,49.900000000000006,51.6,53.800000000000004,56.5,60.2,66.5,80.6,99.1,122.6,135.8,54.3,64.6,66.3,67.5,68.5,69.4,70.3,71.1,71.9,72.7,73.5,74.3,75.2,76.1,77.2,78.3,79.6,81.2,83.3,86.7,93.9,103.1,110.3,116.6
2.2666666644,0.74,14.0,40.0,50.01211497848544,73.90682053368454,23.700000000000003,34.400000000000006,36.5,38.1,39.400000000000006,40.7,41.900000000000006,43.1,44.3,45.6,46.900000000000006,48.400000000000006,49.900000000000006,51.7,53.6,55.9,58.7,62.2,67.2,75.5,95.30000000000001,115.19999999999999,127.19999999999999,135.8,54.0,64.4,66.1,67.3,68.3,69.2,70.0,70.8,71.6,72.4,73.1,73.9,74.8,75.7,76.6,77.7,78.9,80.4,82.4,85.5,91.9,99.9,106.4,112.2
