lambda z ce cc cost edge_avg cloud_avg edge_0.0 edge_0.05 edge_0.1 edge_0.15000000000000002 edge_0.2 edge_0.25 edge_0.30000000000000004 edge_0.35000000000000003 edge_0.4 edge_0.45 edge_0.5 edge_0.55 edge_0.6000000000000001 edge_0.65 edge_0.7000000000000001 edge_0.75 edge_0.8 edge_0.8500000000000001 edge_0.9 edge_0.9500000000000001 edge_0.99 edge_0.999 edge_0.9999 edge_0.99999 cloud_0.0 cloud_0.05 cloud_0.1 cloud_0.15000000000000002 cloud_0.2 cloud_0.25 cloud_0.30000000000000004 cloud_0.35000000000000003 cloud_0.4 cloud_0.45 cloud_0.5 cloud_0.55 cloud_0.6000000000000001 cloud_0.65 cloud_0.7000000000000001 cloud_0.75 cloud_0.8 cloud_0.8500000000000001 cloud_0.9 cloud_0.9500000000000001 cloud_0.99 cloud_0.999 cloud_0.9999 cloud_0.99999
0.088 1.0 0.0 3.0 0.235 0.0 76.98471578556591 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0 64.4 66.2 67.5 68.6 69.6 70.6 71.5 72.5 73.4 74.4 75.5 76.7 78.0 79.5 81.4 83.6 86.6 90.8 97.8 114.3 138.1 161.2 181.1
0.132 1.0 0.0 4.0 0.3525 0.0 77.50344227162114 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.7 64.6 66.4 67.7 68.9 69.9 70.9 71.9 72.9 73.9 74.9 76.0 77.3 78.7 80.3 82.1 84.4 87.4 91.6 98.8 115.3 138.0 159.4 180.3
0.176 1.0 0.0 5.0 0.47 0.0 77.82269711672289 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.5 64.7 66.6 67.9 69.1 70.2 71.2 72.2 73.2 74.2 75.3 76.4 77.7 79.1 80.7 82.6 84.9 87.9 92.1 99.2 115.6 137.8 155.6 167.1
0.264 1.0 0.0 7.0 0.7050000000000001 0.0 78.48199718684123 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.8 65.0 66.9 68.2 69.4 70.5 71.6 72.6 73.7 74.7 75.9 77.1 78.4 79.8 81.5 83.4 85.8 88.8 93.1 100.5 117.4 140.1 157.3 169.7
0.308 1.0 0.0 8.0 0.8225 0.0 78.67968008249 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.2 65.1 67.0 68.4 69.6 70.7 71.8 72.8 73.9 75.0 76.1 77.3 78.6 80.1 81.8 83.7 86.1 89.1 93.4 100.6 117.3 138.3 161.4 178.6
0.352 1.0 0.0 9.0 0.94 0.0 78.510165844488 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.7 65.1 67.0 68.4 69.6 70.7 71.8 72.8 73.9 74.9 76.0 77.2 78.5 80.0 81.6 83.5 85.8 88.8 92.9 99.8 115.6 137.2 157.0 172.2
0.396 1.0 0.0 10.0 1.0575 0.0 78.53335917103557 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.8 65.1 67.0 68.5 69.7 70.8 71.8 72.9 73.9 75.0 76.1 77.3 78.6 80.0 81.6 83.5 85.8 88.7 92.8 99.7 115.8 135.4 155.5 168.5
0.44 1.0 0.0 11.0 1.175 0.0 78.49143212532589 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 65.2 67.1 68.5 69.7 70.8 71.9 72.9 74.0 75.0 76.1 77.3 78.6 80.0 81.6 83.5 85.8 88.6 92.6 99.4 114.4 135.7 156.7 169.6
0.484 1.0 0.0 12.0 1.2925 0.0 78.63978984163833 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 65.2 67.2 68.6 69.8 71.0 72.0 73.1 74.1 75.2 76.3 77.5 78.8 80.3 81.9 83.7 86.0 88.8 92.7 99.5 114.2 134.2 155.6 168.2
0.528 1.0 0.0 13.0 1.41 0.0 78.12931767193054 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.3 65.2 67.1 68.5 69.7 70.8 71.8 72.8 73.9 74.9 76.0 77.2 78.4 79.7 81.3 83.0 85.2 87.9 91.6 97.9 112.0 130.5 154.0 167.2
