lambda z ce cc cost edge_avg cloud_avg edge_0.0 edge_0.05 edge_0.1 edge_0.15000000000000002 edge_0.2 edge_0.25 edge_0.30000000000000004 edge_0.35000000000000003 edge_0.4 edge_0.45 edge_0.5 edge_0.55 edge_0.6000000000000001 edge_0.65 edge_0.7000000000000001 edge_0.75 edge_0.8 edge_0.8500000000000001 edge_0.9 edge_0.9500000000000001 edge_0.99 edge_0.999 edge_0.9999 edge_0.99999 cloud_0.0 cloud_0.05 cloud_0.1 cloud_0.15000000000000002 cloud_0.2 cloud_0.25 cloud_0.30000000000000004 cloud_0.35000000000000003 cloud_0.4 cloud_0.45 cloud_0.5 cloud_0.55 cloud_0.6000000000000001 cloud_0.65 cloud_0.7000000000000001 cloud_0.75 cloud_0.8 cloud_0.8500000000000001 cloud_0.9 cloud_0.9500000000000001 cloud_0.99 cloud_0.999 cloud_0.9999 cloud_0.99999
0.0444444444 1.0 0.0 3.0 0.1175 0.0 45.56486895456999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.4 36.9 38.4 39.5 40.400000000000006 41.3 42.0 42.7 43.400000000000006 44.1 44.8 45.5 46.3 47.1 48.0 48.900000000000006 50.1 51.400000000000006 53.2 56.2 62.900000000000006 72.3 81.5 91.3
0.0888888888 1.0 0.0 4.0 0.235 0.0 46.07312620399292 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.8 37.0 38.6 39.7 40.6 41.5 42.3 43.0 43.7 44.5 45.2 46.0 46.7 47.6 48.5 49.6 50.8 52.2 54.3 57.599999999999994 65.2 76.0 87.0 97.6
0.1333333332 1.0 0.0 5.0 0.3524999999999999 0.0 46.430611793653426 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.6 37.1 38.7 39.900000000000006 40.8 41.7 42.5 43.2 44.0 44.7 45.5 46.3 47.1 48.0 48.900000000000006 50.0 51.3 52.8 54.900000000000006 58.400000000000006 66.3 77.7 90.1 102.3
0.1777777776 1.0 0.0 7.0 0.47 0.0 45.55088749524337 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.5 36.9 38.5 39.6 40.5 41.3 42.1 42.8 43.5 44.2 44.900000000000006 45.6 46.400000000000006 47.2 48.0 49.0 50.1 51.400000000000006 53.1 55.900000000000006 61.7 69.5 76.4 83.6
0.222222222 1.0 0.0 8.0 0.5875 0.0 45.648972930627096 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.6 37.0 38.5 39.6 40.5 41.400000000000006 42.1 42.900000000000006 43.6 44.3 45.0 45.7 46.5 47.3 48.1 49.1 50.2 51.5 53.3 56.099999999999994 61.900000000000006 69.9 78.5 86.6
0.2666666664 1.0 0.0 9.0 0.7049999999999998 0.0 45.81272181250625 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.8 37.0 38.6 39.7 40.6 41.5 42.2 43.0 43.7 44.400000000000006 45.1 45.900000000000006 46.6 47.400000000000006 48.3 49.3 50.400000000000006 51.8 53.6 56.400000000000006 62.5 70.6 78.6 86.1
0.3111111108 1.0 0.0 10.0 0.8224999999999999 0.0 45.875042446966866 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28.200000000000003 37.1 38.6 39.7 40.7 41.5 42.3 43.0 43.7 44.5 45.2 45.900000000000006 46.7 47.5 48.400000000000006 49.400000000000006 50.5 51.900000000000006 53.7 56.5 62.599999999999994 70.8 78.8 90.0
0.3555555552 1.0 0.0 11.0 0.94 0.0 45.97492381427178 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 26.6 37.1 38.6 39.8 40.7 41.6 42.400000000000006 43.1 43.8 44.5 45.3 46.0 46.8 47.6 48.5 49.5 50.6 52.0 53.900000000000006 56.8 62.900000000000006 71.2 79.5 88.7
0.3999999996 1.0 0.0 12.0 1.0575 0.0 46.020131302096 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.700000000000003 37.1 38.7 39.8 40.8 41.6 42.400000000000006 43.1 43.900000000000006 44.6 45.3 46.1 46.8 47.7 48.6 49.6 50.7 52.1 53.900000000000006 56.8 62.900000000000006 71.0 78.2 87.3
0.444444444 1.0 0.0 13.0 1.175 0.0 46.08916538247851 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0 37.1 38.7 39.900000000000006 40.8 41.7 42.400000000000006 43.2 43.900000000000006 44.6 45.400000000000006 46.1 46.900000000000006 47.7 48.6 49.6 50.8 52.2 54.0 56.900000000000006 63.099999999999994 71.2 78.7 86.1
