lambda,z,ce,cc,edge_avg,cloud_avg,edge_0.0,edge_0.05,edge_0.1,edge_0.15000000000000002,edge_0.2,edge_0.25,edge_0.30000000000000004,edge_0.35000000000000003,edge_0.4,edge_0.45,edge_0.5,edge_0.55,edge_0.6000000000000001,edge_0.65,edge_0.7000000000000001,edge_0.75,edge_0.8,edge_0.8500000000000001,edge_0.9,edge_0.9500000000000001,edge_0.99,edge_0.999,edge_0.9999,edge_0.99999,cloud_0.0,cloud_0.05,cloud_0.1,cloud_0.15000000000000002,cloud_0.2,cloud_0.25,cloud_0.30000000000000004,cloud_0.35000000000000003,cloud_0.4,cloud_0.45,cloud_0.5,cloud_0.55,cloud_0.6000000000000001,cloud_0.65,cloud_0.7000000000000001,cloud_0.75,cloud_0.8,cloud_0.8500000000000001,cloud_0.9,cloud_0.9500000000000001,cloud_0.99,cloud_0.999,cloud_0.9999,cloud_0.99999
1.777777776,0.95,4.0,40.0,41.373126203992925,47.694081205502954,23.1,32.3,33.900000000000006,35.0,35.900000000000006,36.8,37.6,38.3,39.0,39.8,40.5,41.3,42.0,42.900000000000006,43.8,44.900000000000006,46.1,47.5,49.6,52.9,60.5,71.30000000000001,82.30000000000001,92.9,27.6,37.9,39.6,40.8,41.8,42.7,43.6,44.400000000000006,45.2,46.0,46.8,47.6,48.5,49.400000000000006,50.5,51.6,52.900000000000006,54.5,56.599999999999994,60.0,67.2,76.4,83.6,89.89999999999999
1.8222222204,0.9268292682926828,5.0,40.0,41.73061179365343,47.694081205502954,22.900000000000002,32.400000000000006,34.0,35.2,36.1,37.0,37.8,38.5,39.3,40.0,40.8,41.6,42.400000000000006,43.3,44.2,45.3,46.6,48.1,50.2,53.7,61.6,73.0,85.4,97.6,27.6,37.9,39.6,40.8,41.8,42.7,43.6,44.400000000000006,45.2,46.0,46.8,47.6,48.5,49.400000000000006,50.5,51.6,52.900000000000006,54.5,56.599999999999994,60.0,67.2,76.4,83.6,89.89999999999999
1.9111111092,0.883720930232558,7.0,40.0,42.14570391852151,47.694081205502954,22.8,32.6,34.2,35.400000000000006,36.3,37.2,38.0,38.8,39.6,40.400000000000006,41.1,41.900000000000006,42.8,43.7,44.7,45.8,47.1,48.8,51.0,54.6,62.800000000000004,74.7,87.9,99.80000000000001,27.6,37.9,39.6,40.8,41.8,42.7,43.6,44.400000000000006,45.2,46.0,46.8,47.6,48.5,49.400000000000006,50.5,51.6,52.900000000000006,54.5,56.599999999999994,60.0,67.2,76.4,83.6,89.89999999999999
1.9555555536,0.8636363636363635,8.0,40.0,42.340441133233604,47.694081205502954,23.1,32.6,34.3,35.5,36.5,37.3,38.2,39.0,39.8,40.5,41.3,42.1,43.0,43.900000000000006,44.900000000000006,46.1,47.400000000000006,49.1,51.300000000000004,55.0,63.2,74.4,84.69999999999999,93.4,27.6,37.9,39.6,40.8,41.8,42.7,43.6,44.400000000000006,45.2,46.0,46.8,47.6,48.5,49.400000000000006,50.5,51.6,52.900000000000006,54.5,56.599999999999994,60.0,67.2,76.4,83.6,89.89999999999999
1.999999998,0.8444444444444443,10.0,40.0,41.17504244696687,47.694081205502954,23.5,32.400000000000006,33.900000000000006,35.0,36.0,36.8,37.6,38.3,39.0,39.8,40.5,41.2,42.0,42.8,43.7,44.7,45.8,47.2,49.0,51.800000000000004,57.9,66.1,74.1,85.30000000000001,27.6,37.9,39.6,40.8,41.8,42.7,43.6,44.400000000000006,45.2,46.0,46.8,47.6,48.5,49.400000000000006,50.5,51.6,52.900000000000006,54.5,56.599999999999994,60.0,67.2,76.4,83.6,89.89999999999999
2.0444444424,0.826086956521739,11.0,40.0,41.27492381427179,47.694081205502954,21.900000000000002,32.400000000000006,33.900000000000006,35.1,36.0,36.900000000000006,37.7,38.400000000000006,39.1,39.8,40.6,41.3,42.1,42.900000000000006,43.8,44.8,45.900000000000006,47.3,49.2,52.1,58.2,66.5,74.80000000000001,84.0,27.6,37.9,39.6,40.8,41.8,42.7,43.6,44.400000000000006,45.2,46.0,46.8,47.6,48.5,49.400000000000006,50.5,51.6,52.900000000000006,54.5,56.599999999999994,60.0,67.2,76.4,83.6,89.89999999999999
2.0888888868,0.8085106382978723,12.0,40.0,41.320131302096,47.694081205502954,23.0,32.400000000000006,34.0,35.1,36.1,36.900000000000006,37.7,38.400000000000006,39.2,39.900000000000006,40.6,41.400000000000006,42.1,43.0,43.900000000000006,44.900000000000006,46.0,47.400000000000006,49.2,52.1,58.2,66.30000000000001,73.5,82.6,27.6,37.9,39.6,40.8,41.8,42.7,43.6,44.400000000000006,45.2,46.0,46.8,47.6,48.5,49.400000000000006,50.5,51.6,52.900000000000006,54.5,56.599999999999994,60.0,67.2,76.4,83.6,89.89999999999999
2.1333333312,0.7916666666666666,13.0,40.0,41.38916538247852,47.694081205502954,23.3,32.400000000000006,34.0,35.2,36.1,37.0,37.7,38.5,39.2,39.900000000000006,40.7,41.400000000000006,42.2,43.0,43.900000000000006,44.900000000000006,46.1,47.5,49.3,52.2,58.4,66.5,74.0,81.4,27.6,37.9,39.6,40.8,41.8,42.7,43.6,44.400000000000006,45.2,46.0,46.8,47.6,48.5,49.400000000000006,50.5,51.6,52.900000000000006,54.5,56.599999999999994,60.0,67.2,76.4,83.6,89.89999999999999
2.1777777756,0.7755102040816325,14.0,40.0,41.488400856880006,47.694081205502954,22.3,32.5,34.1,35.2,36.2,37.0,37.8,38.6,39.3,40.0,40.8,41.5,42.3,43.1,44.0,45.1,46.2,47.6,49.5,52.4,58.6,66.7,74.30000000000001,81.0,27.6,37.9,39.6,40.8,41.8,42.7,43.6,44.400000000000006,45.2,46.0,46.8,47.6,48.5,49.400000000000006,50.5,51.6,52.900000000000006,54.5,56.599999999999994,60.0,67.2,76.4,83.6,89.89999999999999
2.22222222,0.76,15.0,40.0,41.47971519737422,47.694081205502954,22.900000000000002,32.5,34.1,35.2,36.2,37.0,37.8,38.6,39.3,40.0,40.8,41.5,42.3,43.1,44.0,45.1,46.2,47.6,49.400000000000006,52.4,58.5,66.5,74.30000000000001,81.1,27.6,37.9,39.6,40.8,41.8,42.7,43.6,44.400000000000006,45.2,46.0,46.8,47.6,48.5,49.400000000000006,50.5,51.6,52.900000000000006,54.5,56.599999999999994,60.0,67.2,76.4,83.6,89.89999999999999
