lambda,z,ce,cc,edge_avg,cloud_avg,edge_0.0,edge_0.05,edge_0.1,edge_0.15000000000000002,edge_0.2,edge_0.25,edge_0.30000000000000004,edge_0.35000000000000003,edge_0.4,edge_0.45,edge_0.5,edge_0.55,edge_0.6000000000000001,edge_0.65,edge_0.7000000000000001,edge_0.75,edge_0.8,edge_0.8500000000000001,edge_0.9,edge_0.9500000000000001,edge_0.99,edge_0.999,edge_0.9999,edge_0.99999,cloud_0.0,cloud_0.05,cloud_0.1,cloud_0.15000000000000002,cloud_0.2,cloud_0.25,cloud_0.30000000000000004,cloud_0.35000000000000003,cloud_0.4,cloud_0.45,cloud_0.5,cloud_0.55,cloud_0.6000000000000001,cloud_0.65,cloud_0.7000000000000001,cloud_0.75,cloud_0.8,cloud_0.8500000000000001,cloud_0.9,cloud_0.9500000000000001,cloud_0.99,cloud_0.999,cloud_0.9999,cloud_0.99999
0.7111111104,0.01,20.0,3.0,40.931257705354355,44.99339809854418,22.700000000000003,32.3,33.900000000000006,35.0,35.900000000000006,36.7,37.5,38.2,38.900000000000006,39.6,40.3,41.0,41.8,42.6,43.400000000000006,44.400000000000006,45.5,46.7,48.400000000000006,51.1,56.4,63.2,69.4,74.0,27.6,36.7,38.2,39.3,40.2,41.0,41.7,42.400000000000006,43.1,43.8,44.400000000000006,45.1,45.8,46.6,47.400000000000006,48.3,49.3,50.5,52.1,54.6,59.5,65.7,71.4,76.6
0.7555555548,0.0588235294117649,20.0,5.0,41.005625671340454,44.99348720075348,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.4,36.7,38.2,39.3,40.2,41.0,41.7,42.400000000000006,43.1,43.8,44.400000000000006,45.1,45.8,46.6,47.400000000000006,48.3,49.3,50.5,52.1,54.6,59.599999999999994,65.7,71.2,75.9
0.7999999992,0.1111111111111112,20.0,7.0,41.005625671340454,45.00321088009714,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.4,36.7,38.2,39.3,40.2,41.0,41.7,42.400000000000006,43.1,43.8,44.5,45.1,45.900000000000006,46.6,47.400000000000006,48.3,49.3,50.6,52.1,54.6,59.599999999999994,65.7,71.2,77.2
0.8444444436,0.1578947368421054,20.0,8.0,41.005625671340454,45.02414704123999,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,26.3,36.7,38.3,39.3,40.2,41.0,41.8,42.5,43.1,43.8,44.5,45.2,45.900000000000006,46.6,47.400000000000006,48.3,49.400000000000006,50.6,52.2,54.7,59.599999999999994,65.7,71.3,76.7
0.888888888,0.2000000000000001,20.0,10.0,41.005625671340454,44.998438055845256,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.3,36.7,38.2,39.3,40.2,41.0,41.7,42.400000000000006,43.1,43.8,44.5,45.1,45.8,46.6,47.400000000000006,48.3,49.3,50.5,52.1,54.6,59.599999999999994,65.8,71.8,76.7
0.9333333324,0.2380952380952382,20.0,11.0,41.005625671340454,45.01578559081618,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.8,36.7,38.2,39.3,40.2,41.0,41.8,42.400000000000006,43.1,43.8,44.5,45.2,45.900000000000006,46.6,47.400000000000006,48.3,49.3,50.6,52.2,54.6,59.599999999999994,65.6,71.0,75.2
0.9777777768,0.2727272727272728,20.0,12.0,41.005625671340454,45.05057797734392,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.200000000000003,36.8,38.3,39.3,40.2,41.0,41.8,42.5,43.1,43.8,44.5,45.2,45.900000000000006,46.7,47.5,48.400000000000006,49.400000000000006,50.6,52.2,54.7,59.7,66.0,71.4,76.1
1.0222222212,0.3043478260869566,20.0,13.0,41.005625671340454,45.05456441587159,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.9,36.8,38.3,39.400000000000006,40.2,41.0,41.8,42.5,43.2,43.8,44.5,45.2,45.900000000000006,46.7,47.5,48.400000000000006,49.400000000000006,50.6,52.2,54.7,59.7,65.9,71.3,76.4
1.0666666656,0.3333333333333333,20.0,15.0,41.005625671340454,45.02668993812903,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.8,36.8,38.3,39.3,40.2,41.0,41.8,42.5,43.1,43.8,44.5,45.2,45.900000000000006,46.6,47.400000000000006,48.3,49.400000000000006,50.6,52.2,54.7,59.599999999999994,66.0,71.9,77.0
1.11111111,0.3600000000000001,20.0,16.0,41.005625671340454,45.044003253568356,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.0,36.7,38.3,39.400000000000006,40.2,41.0,41.8,42.5,43.1,43.8,44.5,45.2,45.900000000000006,46.7,47.5,48.400000000000006,49.400000000000006,50.6,52.2,54.7,59.7,65.9,71.2,77.0
