lambda z ce cc cost edge_avg cloud_avg edge_0.0 edge_0.05 edge_0.1 edge_0.15000000000000002 edge_0.2 edge_0.25 edge_0.30000000000000004 edge_0.35000000000000003 edge_0.4 edge_0.45 edge_0.5 edge_0.55 edge_0.6000000000000001 edge_0.65 edge_0.7000000000000001 edge_0.75 edge_0.8 edge_0.8500000000000001 edge_0.9 edge_0.9500000000000001 edge_0.99 edge_0.999 edge_0.9999 edge_0.99999 cloud_0.0 cloud_0.05 cloud_0.1 cloud_0.15000000000000002 cloud_0.2 cloud_0.25 cloud_0.30000000000000004 cloud_0.35000000000000003 cloud_0.4 cloud_0.45 cloud_0.5 cloud_0.55 cloud_0.6000000000000001 cloud_0.65 cloud_0.7000000000000001 cloud_0.75 cloud_0.8 cloud_0.8500000000000001 cloud_0.9 cloud_0.9500000000000001 cloud_0.99 cloud_0.999 cloud_0.9999 cloud_0.99999
11.6713352007 1.0 0.0 4.0 0.11750000000000001 0.0 45.096994386945724 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.3 36.8 38.3 39.400000000000006 40.3 41.1 41.8 42.5 43.2 43.8 44.5 45.2 45.900000000000006 46.7 47.5 48.400000000000006 49.400000000000006 50.7 52.3 54.8 60.0 66.5 72.5 78.4
23.3426704014 1.0 0.0 8.0 0.23500000000000001 0.0 44.99127991931135 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.8 36.7 38.2 39.3 40.2 41.0 41.7 42.400000000000006 43.1 43.8 44.5 45.1 45.900000000000006 46.6 47.400000000000006 48.3 49.3 50.5 52.1 54.6 59.599999999999994 65.7 71.4 76.9
35.0140056021 1.0 0.0 11.0 0.3524999999999999 0.0 45.00160076338186 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.700000000000003 36.7 38.2 39.3 40.2 41.0 41.7 42.400000000000006 43.1 43.8 44.5 45.1 45.900000000000006 46.6 47.400000000000006 48.3 49.3 50.5 52.1 54.6 59.5 65.7 71.1 75.9
46.6853408028 1.0 0.0 15.0 0.47000000000000003 0.0 44.98830941018879 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28.1 36.7 38.2 39.3 40.2 41.0 41.7 42.400000000000006 43.1 43.8 44.400000000000006 45.1 45.8 46.6 47.400000000000006 48.3 49.3 50.5 52.1 54.6 59.599999999999994 65.6 71.0 76.3
58.3566760035 1.0 0.0 18.0 0.5875 0.0 44.9892923588619 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.1 36.7 38.2 39.3 40.2 41.0 41.7 42.400000000000006 43.1 43.8 44.400000000000006 45.1 45.8 46.6 47.400000000000006 48.3 49.3 50.5 52.1 54.6 59.599999999999994 65.7 71.5 76.7
70.0280112042 1.0 0.0 22.0 0.7049999999999998 0.0 44.98470878165176 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.6 36.7 38.2 39.3 40.2 41.0 41.7 42.400000000000006 43.1 43.8 44.400000000000006 45.1 45.8 46.6 47.400000000000006 48.3 49.3 50.5 52.1 54.6 59.5 65.6 71.2 76.4
81.6993464049 1.0 0.0 25.0 0.8224999999999999 0.0 44.983341047580524 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28.1 36.7 38.2 39.3 40.2 41.0 41.7 42.400000000000006 43.1 43.8 44.400000000000006 45.1 45.8 46.6 47.400000000000006 48.3 49.3 50.5 52.1 54.6 59.5 65.7 71.3 76.1
93.3706816056 1.0 0.0 28.0 0.9400000000000001 0.0 44.986287435885394 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 26.8 36.7 38.2 39.3 40.2 41.0 41.7 42.400000000000006 43.1 43.8 44.400000000000006 45.1 45.8 46.6 47.400000000000006 48.3 49.3 50.5 52.1 54.6 59.599999999999994 65.7 71.1 75.9
105.0420168063 1.0 0.0 31.0 1.0574999999999999 0.0 44.992053998520895 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.9 36.7 38.2 39.3 40.2 41.0 41.7 42.400000000000006 43.1 43.8 44.5 45.1 45.8 46.6 47.400000000000006 48.3 49.3 50.5 52.1 54.6 59.5 65.6 71.0 76.4
116.713352007 1.0 0.0 34.0 1.175 0.0 44.98745686356957 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28.3 36.7 38.3 39.3 40.2 41.0 41.7 42.400000000000006 43.1 43.8 44.400000000000006 45.1 45.8 46.6 47.400000000000006 48.3 49.3 50.5 52.1 54.6 59.599999999999994 65.8 70.9 75.6
128.3846872077 1.0 0.0 38.0 1.2925 0.0 44.99807699914911 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.700000000000003 36.7 38.2 39.3 40.2 41.0 41.7 42.400000000000006 43.1 43.8 44.5 45.1 45.900000000000006 46.6 47.400000000000006 48.3 49.3 50.5 52.1 54.6 59.5 65.8 71.1 75.4
151.7273576091 0.8999999999999999 5.0 40.0 1.5962375000000002 40.33478436380542 44.99114196263153 23.1 32.0 33.6 34.6 35.5 36.3 37.1 37.8 38.400000000000006 39.1 39.8 40.5 41.2 41.900000000000006 42.8 43.7 44.7 45.900000000000006 47.5 50.0 55.0 61.2 67.30000000000001 72.5 27.200000000000003 36.7 38.2 39.3 40.2 41.0 41.7 42.400000000000006 43.1 43.8 44.400000000000006 45.1 45.8 46.6 47.400000000000006 48.3 49.3 50.5 52.1 54.6 59.599999999999994 65.8 71.7 78.5
163.3986928098 0.8399999999999999 9.0 40.0 1.7634400000000001 40.29466456763685 44.99114196263153 23.3 32.0 33.5 34.6 35.5 36.3 37.0 37.7 38.400000000000006 39.1 39.7 40.400000000000006 41.1 41.900000000000006 42.7 43.6 44.6 45.8 47.400000000000006 49.900000000000006 54.800000000000004 60.9 66.30000000000001 70.6 27.200000000000003 36.7 38.2 39.3 40.2 41.0 41.7 42.400000000000006 43.1 43.8 44.400000000000006 45.1 45.8 46.6 47.400000000000006 48.3 49.3 50.5 52.1 54.6 59.599999999999994 65.8 71.7 78.5
175.0700280105 0.7799999999999998 12.0 40.0 1.9369875000000003 40.28822929537043 44.99114196263153 22.6 32.0 33.5 34.6 35.5 36.3 37.0 37.7 38.400000000000006 39.1 39.7 40.400000000000006 41.1 41.900000000000006 42.7 43.6 44.6 45.8 47.400000000000006 49.900000000000006 54.800000000000004 60.9 66.6 72.9 27.200000000000003 36.7 38.2 39.3 40.2 41.0 41.7 42.400000000000006 43.1 43.8 44.400000000000006 45.1 45.8 46.6 47.400000000000006 48.3 49.3 50.5 52.1 54.6 59.599999999999994 65.8 71.7 78.5
186.7413632112 0.7299999999999998 16.0 40.0 2.10842 40.28675805443764 44.99114196263153 21.8 32.0 33.5 34.6 35.5 36.3 37.0 37.7 38.400000000000006 39.1 39.7 40.400000000000006 41.1 41.900000000000006 42.7 43.6 44.6 45.8 47.400000000000006 49.900000000000006 54.800000000000004 61.0 66.4 71.30000000000001 27.200000000000003 36.7 38.2 39.3 40.2 41.0 41.7 42.400000000000006 43.1 43.8 44.400000000000006 45.1 45.8 46.6 47.400000000000006 48.3 49.3 50.5 52.1 54.6 59.599999999999994 65.8 71.7 78.5
198.4126984119 0.6899999999999997 19.0 40.0 2.2761512500000003 40.28890347585032 44.99114196263153 22.700000000000003 32.0 33.5 34.6 35.5 36.3 37.0 37.7 38.400000000000006 39.1 39.7 40.400000000000006 41.1 41.900000000000006 42.7 43.6 44.6 45.8 47.400000000000006 49.900000000000006 54.9 61.0 66.9 73.1 27.200000000000003 36.7 38.2 39.3 40.2 41.0 41.7 42.400000000000006 43.1 43.8 44.400000000000006 45.1 45.8 46.6 47.400000000000006 48.3 49.3 50.5 52.1 54.6 59.599999999999994 65.8 71.7 78.5
