ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
0 2 1.0 0.07400000000000001 0.0444444444 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 3 1.0 0.140375 0.0888888888 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 4 1.0 0.20674999999999996 0.1333333332 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 4 1.0 0.2655 0.1777777776 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 5 1.0 0.33187500000000003 0.222222222 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 5 1.0 0.39062499999999994 0.2666666664 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 6 1.0 0.45699999999999996 0.3111111108 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 7 1.0 0.523375 0.3555555552 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 7 1.0 0.582125 0.3999999996 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 8 1.0 0.6485000000000001 0.444444444 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 8 1.0 0.7072499999999999 0.4888888884 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 9 1.0 0.7736249999999998 0.5333333328 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 9 1.0 0.8323750000000001 0.5777777772 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 10 1.0 0.8987499999999999 0.6222222216 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 10 1.0 0.9575 0.666666666 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 11 1.0 1.023875 0.7111111104 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 11 1.0 1.082625 0.7555555548 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 12 1.0 1.149 0.7999999992 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 12 1.0 1.2077499999999999 0.8444444436 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 13 1.0 1.274125 0.888888888 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 13 1.0 1.332875 0.9333333324 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 14 1.0 1.3992499999999999 0.9777777768 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 14 1.0 1.458 1.0222222212 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 15 1.0 1.5243749999999996 1.0666666656 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 15 1.0 1.583125 1.11111111 0.0444444444 18.1 22.8 100.0 0.99999 0.5
0 16 1.0 1.6495000000000002 1.1555555544 0.0444444444 18.1 22.8 100.0 0.99999 0.5
