ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
0 0 0 0.014687500000000001 0.0444444444 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 2 1.0 0.044625 0.0888888888 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 2 1.0 0.05931249999999999 0.1333333332 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 2 1.0 0.07400000000000001 0.1777777776 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 3 1.0 0.0963125 0.222222222 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 3 1.0 0.11099999999999999 0.2666666664 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 3 1.0 0.12568749999999998 0.3111111108 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 3 1.0 0.140375 0.3555555552 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 3 1.0 0.15506250000000002 0.3999999996 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 3 1.0 0.16975 0.444444444 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 4 1.0 0.1920625 0.4888888884 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 4 1.0 0.20674999999999996 0.5333333328 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 4 1.0 0.2214375 0.5777777772 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 4 1.0 0.23612499999999997 0.6222222216 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 4 1.0 0.2508125 0.666666666 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 4 1.0 0.2655 0.7111111104 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 5 1.0 0.2878125 0.7555555548 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 5 1.0 0.30250000000000005 0.7999999992 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 5 1.0 0.3171875 0.8444444436 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 5 1.0 0.33187500000000003 0.888888888 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 5 1.0 0.34656250000000005 0.9333333324 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 5 1.0 0.36125 0.9777777768 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 5 1.0 0.37593750000000004 1.0222222212 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 5 1.0 0.39062499999999994 1.0666666656 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 6 1.0 0.4129375 1.11111111 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 6 1.0 0.42762500000000003 1.1555555544 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 6 1.0 0.4423125 1.1999999988 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 6 1.0 0.45699999999999996 1.2444444432 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 6 1.0 0.47168750000000004 1.2888888876 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 6 1.0 0.486375 1.333333332 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 6 1.0 0.5010625 1.3777777764 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 7 1.0 0.523375 1.4222222208 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 7 1.0 0.5380625 1.4666666652 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 7 1.0 0.55275 1.5111111096 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 7 1.0 0.5674374999999999 1.555555554 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 7 1.0 0.582125 1.5999999984 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 7 1.0 0.5968125 1.6444444428 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 7 1.0 0.6114999999999999 1.6888888872 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 7 1.0 0.6261874999999999 1.7333333316 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 8 1.0 0.6485000000000001 1.777777776 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 8 1.0 0.6631875 1.8222222204 0.0444444444 18.1 22.8 100.0 0.99999 1.0
0 8 1.0 0.677875 1.8666666648 0.0444444444 18.1 22.8 100.0 0.99999 1.0
